a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
mouse_3W	IRI_24h	0.724039	0.687002	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_48h	0.717367	0.728461	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_72h	0.752616	0.765577	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_7d	0.788809	0.766598	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_14d	0.599736	0.556596	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_28d	0.705729	0.658055	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_12mo	0.588533	0.593789	same_species_diff_dataset	podtreck	iri	False	
IRI_2h	IRI_4h	0.638488	0.519203	within_dataset	iri	iri	True	
IRI_2h	IRI_24h	0.16564	0.178916	within_dataset	iri	iri	True	
IRI_2h	IRI_48h	0.200037	0.171457	within_dataset	iri	iri	True	
IRI_2h	IRI_72h	0.20994	0.165741	within_dataset	iri	iri	True	
IRI_2h	IRI_7d	0.308535	0.33603	within_dataset	iri	iri	True	
IRI_2h	IRI_14d	0.580837	0.624083	within_dataset	iri	iri	True	
IRI_2h	IRI_28d	0.224373	0.218899	within_dataset	iri	iri	True	
IRI_2h	IRI_12mo	0.269432	0.303703	within_dataset	iri	iri	False	
IRI_4h	IRI_24h	0.321377	0.332685	within_dataset	iri	iri	True	
IRI_4h	IRI_48h	0.330286	0.329467	within_dataset	iri	iri	True	
IRI_4h	IRI_72h	0.382022	0.374492	within_dataset	iri	iri	True	
IRI_4h	IRI_7d	0.349583	0.387542	within_dataset	iri	iri	True	
IRI_4h	IRI_14d	0.286552	0.324058	within_dataset	iri	iri	True	
IRI_4h	IRI_28d	0.233359	0.223384	within_dataset	iri	iri	True	
IRI_4h	IRI_12mo	0.245959	0.283455	within_dataset	iri	iri	False	
IRI_24h	IRI_48h	0.820491	0.755825	within_dataset	iri	iri	True	
IRI_24h	IRI_72h	0.740299	0.675046	within_dataset	iri	iri	True	
IRI_24h	IRI_7d	0.7621	0.741422	within_dataset	iri	iri	True	
IRI_24h	IRI_14d	0.568969	0.578995	within_dataset	iri	iri	True	
IRI_24h	IRI_28d	0.632859	0.657369	within_dataset	iri	iri	True	
IRI_24h	IRI_12mo	0.528857	0.510747	within_dataset	iri	iri	False	
IRI_48h	IRI_72h	0.894164	0.849294	within_dataset	iri	iri	True	
IRI_48h	IRI_7d	0.776779	0.747843	within_dataset	iri	iri	True	
IRI_48h	IRI_14d	0.551739	0.51333	within_dataset	iri	iri	True	
IRI_48h	IRI_28d	0.577467	0.533204	within_dataset	iri	iri	True	
IRI_48h	IRI_12mo	0.632792	0.635128	within_dataset	iri	iri	False	
IRI_72h	IRI_7d	0.79519	0.753085	within_dataset	iri	iri	True	
IRI_72h	IRI_14d	0.573166	0.544317	within_dataset	iri	iri	True	
IRI_72h	IRI_28d	0.640297	0.606443	within_dataset	iri	iri	True	
IRI_72h	IRI_12mo	0.570457	0.519022	within_dataset	iri	iri	False	
IRI_7d	IRI_14d	0.789002	0.760342	within_dataset	iri	iri	True	
IRI_7d	IRI_28d	0.804313	0.716489	within_dataset	iri	iri	True	
IRI_7d	IRI_12mo	0.734353	0.696166	within_dataset	iri	iri	False	
IRI_14d	IRI_28d	0.774213	0.739734	within_dataset	iri	iri	True	
IRI_14d	IRI_12mo	0.645918	0.559649	within_dataset	iri	iri	False	
IRI_28d	IRI_12mo	0.610495	0.423206	within_dataset	iri	iri	False	
