collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
KEGG	Huntington disease	30	0.6366	0.3595	0.2481	0.5598	0.264	0.2481	0.5095	0.2422	0.2481
KEGG	Kaposi sarcoma-associated herpesvirus infection	30	0.7743	0.7843	0.5697	0.7901	0.769	0.5697	0.7661	0.757	0.5697
KEGG	MAPK signaling pathway	35	0.7054	0.7659	0.5993	0.7751	0.7832	0.5993	0.7494	0.7604	0.5993
KEGG	PI3K-Akt signaling pathway	44	0.7607	0.7399	0.5548	0.8018	0.7465	0.5548	0.781	0.7395	0.5548
KEGG	Pathways in cancer	68	0.8076	0.7285	0.4412	0.836	0.7297	0.4412	0.8173	0.7284	0.4412
KEGG	Pathways of neurodegeneration	57	0.7214	0.563	0.3714	0.7511	0.5607	0.3714	0.7226	0.529	0.3714
KEGG	Protein processing in endoplasmic reticulum	31	0.7297	0.6817	0.4408	0.7799	0.6661	0.4408	0.7548	0.6441	0.4408
KEGG	Rap1 signaling pathway	31	0.6406	0.6933	0.5795	0.6699	0.6973	0.5795	0.6321	0.6894	0.5795
KEGG	Ras signaling pathway	36	0.6227	0.6445	0.55	0.6437	0.6644	0.55	0.6048	0.6258	0.55
KEGG	Shigellosis	30	0.8192	0.6527	0.4511	0.7799	0.6323	0.4511	0.756	0.5944	0.4511
KEGG	Ubiquitin mediated proteolysis	34	0.8278	0.7979	0.5746	0.773	0.7614	0.5746	0.747	0.7481	0.5746
Hallmark	TNF-alpha Signaling via NF-kB	35	0.8918	0.77	0.5676	0.883	0.747	0.5676	0.8696	0.747	0.5676
Hallmark	Adipogenesis	41	0.7778	0.6643	0.3903	0.7815	0.6677	0.3903	0.7583	0.6371	0.3903
Hallmark	Estrogen Response Early	38	0.9311	0.7314	0.4542	0.922	0.7313	0.4542	0.9131	0.7136	0.4542
Hallmark	Estrogen Response Late	32	0.8122	0.7019	0.3374	0.8344	0.7125	0.3374	0.8155	0.7019	0.3374
Hallmark	Xenobiotic Metabolism	33	0.6114	0.5127	0.4313	0.648	0.5164	0.4313	0.6179	0.5129	0.4313
Hallmark	p53 Pathway	31	0.91	0.7655	0.347	0.9583	0.7587	0.347	0.9536	0.7587	0.347
Hallmark	heme Metabolism	32	0.7488	0.4241	0.2139	0.6629	0.3756	0.2139	0.6262	0.319	0.2139
