groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
OXSM	BPGM	0.540351	0.536295
HTATIP2	FOXO1	0.540418	0.536359
ARMC10	CC2D1A	0.540683	0.536554
VPS37A	ANKMY2	0.541238	0.538304
HNRNPH3	KLHL2	0.54134	0.539448
TSN	TBC1D19	0.542173	0.539633
NME1	MRPS14	0.542352	0.540083
SUGT1	PSMF1	0.543163	0.54034
FMR1	LDLRAD3	0.544173	0.541267
PHLDB1	PLXND1	0.544271	0.541726
SMC3	SFR1	0.544294	0.542493
EML2	NDUFAF6	0.544341	0.543273
XPO7	FBXL3	0.544783	0.543658
VWA5A	ZBED3	0.545022	0.543961
ADSL	KLHL7	0.546765	0.544076
MOGS	PDZD11	0.547531	0.544602
RTCA	CDKN1C	0.54787	0.54495
SCIN	HES1	0.548764	0.545521
PLEKHF2	UNC45A	0.548912	0.545834
SRC	TOR1B	0.549527	0.546681
GALK2	GNL2	0.549528	0.546703
PACSIN3	PIGX	0.549663	0.54675
SCAMP1	RAP1GAP2	0.549734	0.547869
CCDC90B	SLC36A1	0.551559	0.548798
COL4A5	TRIM47	0.551594	0.549072
PPP3CB	TRAPPC13	0.553214	0.549079
CNN2	NUP153	0.554195	0.549216
USP14	SS18	0.5542	0.550177
CORO1C	HERPUD2	0.554533	0.550268
BLVRB	NICN1	0.554554	0.550385
SCFD1	SNX25	0.554727	0.553122
SLC4A1	KLF6	0.555647	0.553639
GPD2	PCTP	0.556818	0.553978
NAGK	ID1	0.55697	0.55404
FAM136A	VIPAS39	0.55726	0.554719
SEC24B	ZMYND10	0.557679	0.554906
DHRS7	JADE1	0.558966	0.555031
ARHGDIB	PSKH1	0.559003	0.555391
LRRC47	TMEM184A	0.559055	0.556131
PDCL3	PPP2R1B	0.559649	0.55683
SYNPO	WDR48	0.56142	0.557129
ACBD3	ASB8	0.561957	0.557517
RHOG	SSBP3	0.562711	0.557606
SLCO4C1	DDX18	0.563939	0.558457
