gene	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
IFI27L2B	NA	NA	NA	NA	0.1995325583085061	1.5575180848428525	0.3999643793140229	NA	NA	0.7905534908621077	NA	NA	NA	NA	NA	NA
IFI30	-0.24172333657897482	-0.6877374136136316	-1.0111106609882432	-0.41988707970601347	0.522999315740516	1.5192824786463106	0.9101521500904735	-0.05907392469321948	0.06590713439730056	0.47499598446329916	0.4966676619244019	0.6584734594571957	1.0630247426293602	0.6636413201971854	0.21781973067766014	0.6167264979979095
IFI35	0.5375165677386287	0.7015590306242157	0.7870969211112442	0.8671969332480147	0.629102134601982	1.6554712911395453	1.1506346803265877	-0.12054994115199058	-0.08422338678819541	0.37653730580196365	0.3685778359511178	0.1162723880570482	0.7709435208955768	0.6259863482659616	0.4590731587942787	0.5266088154789106
IFI44	0.7419854906140779	0.9981279809656334	0.9823560789693122	-0.07592089871240049	-0.03698930031060588	0.23107292932919643	0.007868731179637711	-0.3345899693258174	-0.4369023524018001	0.3420004427609864	-0.09851126250782416	-0.18802009599926794	0.2743861780115531	-0.358631016924738	0.463042607912066	0.10713381943875877
IFI44L	1.2343308669789463	1.7043557635335578	1.4586019489620243	1.322586816366674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI47	NA	NA	NA	NA	0.31121147275283834	1.8350318861602897	1.0075743207332397	-0.47684914228052344	-0.34441550670303567	-0.3173345921804822	-0.39870568546188456	-0.2699794573835257	0.6418382153482853	0.5195890097989853	1.0171632156014443	0.9142388138960185
IFI6	2.218210390970095	2.9424358848964736	1.818997388058766	2.492565623476703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFIH1	0.34214110735233616	0.5685881160932174	0.8020276782533955	0.2937638216025631	0.17609178098384848	1.2043249216734064	0.48058539648366994	-0.6917218292039344	-0.016461710720544698	0.4412694609945671	-0.013179482798484354	0.06114466355841763	0.5067037385572943	-0.2555530936681436	0.6568265556784207	0.22965256171557202
IFIT1	NA	NA	NA	NA	0.42309436392786015	1.710902561897303	0.9812361057860672	-0.4064767484138052	-0.16422070275434186	0.26009500775506855	-0.3569595823826137	-0.1052731809289138	0.5713857897165866	0.4575255749133913	1.0004359911233593	0.6474510023976152
IFIT1BL1	NA	NA	NA	NA	-0.1338437409215747	-0.05765559843689427	-0.29908386457819147	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFIT2	1.127340332096941	1.3615876537812028	1.5841884854157162	0.9191875370389653	0.3404748717525041	1.7947961229974123	0.984861937442749	-0.6344945678018139	-0.44164366861619886	0.5799608432354586	0.4999759639096677	0.727957721212737	1.1548509481030291	-0.014715632022034963	0.9612608903172428	0.30654591963649747
IFIT3	1.1676783664876793	1.2032348180576502	1.8030292086365916	0.8223410733995187	0.09177957928925906	1.4974840588402327	0.8477070967723028	-0.8768069205969855	-0.2525316558636632	0.2737596644440017	0.3954355342769773	0.2408987726023959	1.8183784994461787	0.1985934336891031	0.8594033542249404	0.4312162463903628
IFIT3B	NA	NA	NA	NA	0.004597760924873295	1.4084186914352936	0.8228422600937235	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFIT5	0.08058070198290634	0.571040832324726	0.38829927169601497	0.3560079005504173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFITM1	NA	NA	NA	NA	0.45280885912593316	0.8451058483011482	0.8766994546726985	-0.3814850746249365	-0.37698141564273246	-0.9746063791383	0.907135651082521	0.7748975988561351	1.2639440120470726	1.6930545204816485	1.2411599157779372	0.2503116755418695
IFITM10	1.2960858467053609	1.16232817015032	1.8724819932088177	1.7656491310202596	NA	NA	NA	NA	NA	1.1957952129080418	1.0285106904871837	0.7369898877480967	0.8331800778955942	NA	NA	NA
IFITM2	NA	NA	NA	NA	0.3782720956763157	1.5800354432269579	1.0466625180428997	0.2926976152236316	0.1856746365671853	0.7756937155948371	1.3980562562336925	1.1605772374702958	1.3647771532026187	1.3217313612882542	0.813917627998503	0.42854232222146127
IFITM3	NA	NA	NA	NA	0.8571987604976341	2.0932467244766677	1.3747408304905937	0.26330419593738696	0.4217851611691499	1.5512328289129726	1.5063342862283893	0.9290902082633883	1.7755444053278557	1.696280362990679	1.2814091062966533	0.9477194881395876
IFITM5	1.7069688399616838	2.4001504304233032	1.7316755818473402	2.567772832265731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFITM6	NA	NA	NA	NA	0.12187234555034553	0.796220684395417	0.33403283050380445	NA	0.5683727935296168	NA	1.2016912568997395	0.7315389144319915	0.7599198776809306	0.884303923076069	0.6307069478704854	NA
IFNAR1	0.4731933476263599	1.0302647781802845	0.6211745596267493	0.18215557636674795	0.26084046405043804	1.4666358818632976	0.7950377294462414	-0.04178745230318537	-0.077548886555598	0.6824896423984579	0.41014631862716344	0.45510918811328915	0.8323635098048006	1.0533447176867115	0.7606156548314478	0.19595507700273274
IFNAR2	0.9800942057318642	1.3155700017428944	0.9135993344113542	1.0200903293000563	0.25278100971401196	1.3560005547230638	0.7561247841681804	0.0872358510055884	0.16059349029498504	0.6081500220575657	0.5802194459078418	0.48573367008637813	1.165938369301569	1.087923050899617	0.7829829979267204	0.4450848209261862
IFNGR1	0.4655035181395606	0.7243145427306157	0.45971477613381495	0.6053105807810812	0.9040140884957588	2.5674477481045157	1.6052315536440078	-0.0591053314979586	0.8325251466224479	1.0924361108193335	1.4177973260473982	1.785041383011217	1.668174707875357	1.1958726840517881	1.3131605449869577	0.6198652446535888
IFNGR2	0.5774561667400508	0.8958202846157244	1.0146652053230536	1.199023025146026	0.7243647503239288	2.372530408548576	1.2495139380578628	-0.3082966352143153	0.16934775283875947	1.2164981072750751	1.2366801950915636	1.1538261523885525	1.5708943397244526	1.470541269211695	1.1373811502563833	0.6050889803813382
IFNLR1	-0.09627214947399398	-0.5395100993681572	-0.5234204158669562	-0.19262277742839773	0.05256100950128473	0.7967829948946209	0.6165574343093952	-0.4327374307970878	-0.09260957411856108	0.35051789197284755	0.3043696429350933	0.35696326193742767	0.23683926514006792	0.3999085000332674	0.18938805898272393	0.11248690371420744
IFRD1	0.2889187389729724	0.6711346780099228	0.18450028192380596	0.17000398461472876	1.269412992446551	1.30648285613587	0.8914084289792223	1.6762149317963035	3.3083769853409417	1.052263513379434	0.6761534039638013	0.9047573495963261	0.697598608146154	-0.03888303490213296	0.12046917808347901	0.36241697373010506
IFRD2	-0.0783801528731054	-0.1938063175291571	-0.10211507359756844	0.27918916051311005	0.3112997416865886	-0.3888090446320427	-0.5672452933348509	0.03939417117775079	-0.05185161988315379	-0.0744993898303905	-0.7167812065697845	-0.6392026628578602	-0.04095754956804676	-0.1845595152939632	-0.16044612375991996	-0.026856117291523596
IFT122	-0.10359838220132467	-0.10138093630546674	-0.12032258719076605	0.1479448551751199	-0.31350614784813535	-0.5321635916571121	-0.552146691752927	0.079982433964493	-0.15600919519246714	-0.8847384552156927	-1.0978556254382297	-1.0091949499688044	-0.3591827403848069	0.05287761774337607	-0.1270644938157237	-0.25321692291900577
IFT140	-0.20162537090055288	-0.09348412332461997	-0.047883713157678365	-0.03541684676438894	0.0063008788830760665	0.5318812400502748	0.18871439251409727	0.41346830065253015	-0.07748662664563066	0.38031808680089596	-0.05414437258325533	0.033996648395947515	0.5131488504201578	0.7793855958419027	0.48918382946035055	0.05605262813934875
IFT172	-0.2708551059233004	-0.5664569828522543	-0.09739822786660834	-0.409118728602075	0.035299353579469006	0.33474272873309463	0.031096276620149688	0.052835602084523536	-0.3575355462583878	-0.1892938952564771	-0.658623298103723	-0.4907937145866099	0.056023749446352245	0.3092494443644176	0.21231410634529135	-0.08139931397620703
IFT20	-0.10946649000762676	-0.1537127021281579	-0.3305817975981702	0.01335723667105615	0.0554052335130244	0.39424024026420934	0.42439501503043786	-0.3289723873163686	-0.1117972527115283	0.08169426998328966	-0.11924586374920132	-0.30697892888881917	0.024901564435690027	-0.39001296443615363	0.0013742081958874053	0.12909052148027733
