	cat_ctx_control	podtreck_control	iri_young_sham
4833408A19RIK	NA	1.23985076271615	NA
4833413G10RIK	NA	1.6406457354573323	NA
4833418N02RIK	NA	NA	2.022714367805577
4833419F23RIK	NA	0.2361279892657018	NA
4833438C02RIK	NA	1.5265274008676604	NA
4921504A21RIK	NA	NA	0.8316372946315785
4921531C22RIK	NA	NA	1.2258489546989129
4930402H24RIK	NA	2.734024611234561	3.9774663473836065
4930412C18RIK	NA	NA	1.3567087766114254
4930415O20RIK	NA	NA	0.7898312534811199
4930426D05RIK	NA	0.7878730093904576	1.987981347917084
4930430F08RIK	NA	1.086114574117767	1.899507828373131
4930442L01RIK	NA	NA	1.0281482138190399
4930452B06RIK	NA	NA	1.0093358913620423
4930461G14RIK	NA	1.819355630692775	1.924484744374131
4930466K18RIK	NA	0.9459933041711275	NA
4930469K13RIK	NA	1.1254221886301035	1.1155611076569
4930480K23RIK	NA	NA	0.7601616630199874
4930481A15RIK	NA	2.10342190389886	2.119312802972686
4930481B07RIK	NA	NA	0.7876112440911571
4930502E18RIK	NA	NA	1.5091247422412775
4930506C21RIK	NA	NA	0.8571108515326208
4930506M07RIK	NA	NA	2.615363218518219
4930512B01RIK	NA	NA	1.2759446163903385
4930513N10RIK	NA	2.2809358873639596	NA
4930516B21RIK	NA	NA	1.6391611271295041
4930522L14RIK	NA	0.988881814619849	1.4981815881288638
4930524J08RIK	NA	NA	1.067577769183078
4930533I22RIK	NA	NA	0.9965011439202982
4930539J05RIK	NA	NA	1.4772265741412969
4930556J24RIK	NA	NA	0.8148535324851384
4930556M19RIK	NA	NA	1.2702541111993153
4930564B18RIK	NA	NA	1.451021771341769
4930579G18RIK	NA	NA	1.285775895292347
4930581F22RIK	NA	NA	0.7775775374091899
4931403E22RIK	NA	NA	0.8416532143263504
4931406P16RIK	NA	NA	2.35799638125478
4931422A03RIK	NA	NA	0.8369494523400324
4931428F04RIK	NA	0.37386939766366317	NA
4932438A13RIK	NA	1.5243563952457413	2.426028513737991
4933404O12RIK	NA	NA	0.7871531429399234
4933406C10RIK	NA	NA	0.7435453457543222
4933412E12RIK	NA	1.0146864607578867	NA
4933417A18RIK	NA	NA	1.4135729212007588
4933421O10RIK	NA	0.7614913941979805	1.2116813303230878
4933426M11RIK	NA	NA	5.306423998148182
4933427G17RIK	NA	NA	0.844077932756933
4933431E20RIK	NA	1.7254034172547303	2.019510293604433
4933439C10RIK	NA	0.6404145587536806	1.5438013152318384
4933440N22RIK	NA	NA	1.1889693380971755
5031420N21RIK	NA	NA	1.314620580707113
5031425E22RIK	NA	1.2486635227539553	3.165261914011936
5033430I15RIK	NA	1.1794911148971472	1.976118848162953
5330426P16RIK	NA	NA	1.4149783266949736
5330438D12RIK	NA	NA	1.1216450842735008
5430402O13RIK	NA	NA	0.8645404480879885
5530601H04RIK	NA	NA	1.4412513597501604
5730437C11RIK	NA	0.8567423510690064	0.7666081475890056
5730508B09RIK	NA	NA	2.666212603711927
5730559C18RIK	NA	NA	2.3529206961831086
5830415F09RIK	NA	NA	1.5464141484580427
5830417I10RIK	NA	2.826066473765812	NA
5830428H23RIK	NA	NA	2.458316934641609
5830448L01RIK	NA	0.5768157122703294	NA
5830454E08RIK	NA	0.8999972046878307	1.5776552421891974
5S_RRNA	NA	2.7125822269941975	NA
6230415J03RIK	NA	NA	1.038015550086835
6330403L08RIK	NA	0.3352543418213039	NA
6330408A02RIK	NA	NA	1.258830873408422
6330416G13RIK	NA	NA	2.3345472928880686
6330418K02RIK	NA	1.024750264029729	NA
6330419J24RIK	NA	NA	1.3657474759290464
6330562C20RIK	NA	0.6585979748421941	NA
6430573F11RIK	NA	NA	1.023243276403324
6530402F18RIK	NA	0.31922966565489064	NA
6720427I07RIK	NA	0.6689349875601525	1.5934292065864522
6820431F20RIK	NA	3.135878772909207	NA
7SK	NA	4.1298655605627905	3.1177875722053
8030462N17RIK	NA	1.708559209486765	2.4820329192421005
8430408G22RIK	NA	NA	4.675506386824419
8430419L09RIK	NA	NA	2.5846482008289833
8430422M14RIK	NA	1.566098601535426	NA
8430429K09RIK	NA	0.7515635853289911	1.4113152101644566
9030025P20RIK	NA	2.298758011549525	NA
9030407P20RIK	NA	0.9486920263260874	1.2521018468123115
9030617O03RIK	NA	NA	5.965869353678264
9030619P08RIK	NA	3.706487544093655	4.219834168979509
9030624J02RIK	NA	NA	3.837944442293164
9130011E15RIK	NA	NA	2.776130783654203
9130016M20RIK	NA	3.6444920333647928	NA
9130019O22RIK	NA	0.7733804131101659	0.8967936906460467
9130023H24RIK	NA	1.5061044938993409	1.5147103665362582
9130024F11RIK	NA	NA	0.9513248658807582
9130204K15RIK	NA	NA	0.9295987483657391
9130221H12RIK	NA	1.6859393160061324	0.9265046251269334
9130230N09RIK	NA	1.404762327092538	1.4577240403450737
9130409J20RIK	NA	NA	0.6507788543590473
9230102O04RIK	NA	1.1748755989385637	NA
9230110C19RIK	NA	NA	2.0448563381662406
9230111E07RIK	NA	0.7685140997976138	NA
9230112E08RIK	NA	0.5801054887631311	0.7965750664399409
9230114K14RIK	NA	1.0264332820749371	1.2603379651371396
9230116L04RIK	NA	0.887228784433398	NA
9330020H09RIK	NA	0.7858488808560306	NA
9330151L19RIK	NA	1.020903195692749	1.4096204904537226
9430008C03RIK	NA	NA	1.5885075808761524
9430016H08RIK	NA	NA	2.176247238109875
9430020K01RIK	NA	NA	2.0476663193189877
9430085M18RIK	NA	0.7996244725859046	NA
9430091E24RIK	NA	NA	3.010928615401389
9530026P05RIK	NA	0.6219519127695606	0.9006381870294972
9530034E10RIK	NA	0.13136584180914376	NA
9530077C05RIK	NA	NA	0.9968672728790379
9530082P21RIK	NA	0.47917968169775754	3.0273204653574446
9630013D21RIK	NA	1.2343406291921255	1.4959754351358605
9630033F20RIK	NA	NA	1.9219752422205494
