gene	cat_CKD34	mouse_2W
ACAT2	0.3401837100970469	0.06208440205714337
ACAT3	NA	0.09341895273032758
ACBD3	0.11328494965742478	0.05461318892370818
ACBD4	0.1522114387308504	0.063408833818346
ACBD5	0.17256374831018292	0.07659404498194682
ACBD6	0.14198348238005776	0.08104830223239484
ACCS	0.16155004023314704	NA
ACD	0.20828067199737907	0.05583624559689857
ACE	0.5040156706995803	0.08356923938629052
ACE2	0.38120370888437516	0.0719915196489713
ACER2	0.2719322654670092	0.15111234403922277
ACER3	0.25004325277759293	0.06109462214455717
ACHE	0.23311840077361173	0.06778403987174947
ACIN1	0.13912468134901732	0.0583389319779551
ACKR1	0.7384212731724841	NA
ACKR2	0.24514552645770235	NA
ACKR3	0.26440558774499834	0.169423642124762
ACKR4	0.3885282330875725	NA
ACKR5	0.17129594205515292	NA
ACLY	0.17008909647076853	0.06922730128073333
ACMSD	0.5257506274291304	0.11094317715578697
ACNAT1	NA	0.12391097464696499
ACNAT2	NA	0.1522819081005956
ACO1	0.2820651034012429	0.052495285209369566
ACO2	0.31315342403786567	0.07157569497855683
ACOD1	NA	0.0500919000030547
ACOT1	NA	0.11737768284282894
ACOT11	0.27912106691881433	0.08961488918076728
ACOT12	NA	0.08905481160620338
ACOT13	0.2680706796485607	0.06022446465034915
ACOT2	NA	0.11543796459293594
ACOT3	NA	0.11908010605448668
ACOT4	NA	0.05104499591748679
ACOT5	NA	0.12051823766310771
ACOT6	NA	0.07370377168899198
ACOT7	0.3308498608345393	0.05938580073130169
ACOT8	0.1517853724541329	0.05269329878638805
ACOT9	0.2172339168343243	0.054557321358359105
ACOX1	0.1850047086014409	0.060336705291546264
ACOX2	0.4597424377131243	0.08531083718071823
ACOX3	0.3727613110909175	0.11216076286060075
ACP1	0.16188166284639924	0.05847644051077936
ACP2	0.17175349278702343	0.05330917741781465
ACP3	0.26007037391036625	NA
ACP5	0.32771565438999734	0.06602563347966571
ACP6	0.2933518532826971	0.10621821936054152
ACP7	1.682107571152008	NA
ACRBP	0.43163496105819393	NA
ACSBG1	0.5430669516336654	0.060235887561550974
ACSF2	0.2580478965043219	0.10346978087816061
ACSF3	0.3112604257928159	0.06219349695984627
ACSL1	0.5731802860167178	0.18316517592569198
ACSL3	0.1941224891668534	0.0659364543453156
ACSL4	0.31638407914180483	0.08694165449587335
ACSL5	0.39564932188403124	0.05369023413177143
ACSM1	NA	0.07205156883441756
ACSM2	NA	0.07707499525720157
ACSM3	NA	0.2911228909252603
ACSM5	0.5507750795327665	0.08777302798428221
ACSS1	0.14775856887296468	0.10088082953588737
ACSS2	0.1342640518494832	0.061842128869388516
ACSS3	0.19172121829328714	0.14548966951320502
ACTA1	0.3549388514153103	0.6578562530111177
ACTA2	NA	0.1619262414848254
ACTB	0.15069823697566068	0.10876538631315676
ACTC1	0.6070425042865336	NA
ACTG-PS1	NA	0.23335054375203668
ACTG1	0.13483866171281386	0.07914753328149611
ACTG2	0.30682945778577964	0.12881166420886594
ACTL6A	0.15685692459448153	0.06098731650113905
ACTN1	0.19829756371328267	0.06398494773193936
ACTN3	NA	0.4739078672644935
ACTN4	0.12136651393056315	0.07010268391722123
ACTR10	0.1337603670298412	0.05468861902845645
ACTR1A	0.1281444022412098	0.04846625218991478
ACTR1B	0.1321578216448553	0.05148636384140692
ACTR2	0.12575490832364797	0.05928087340837083
ACTR3	0.1388539825026644	0.05641417556227086
ACTR3-PS	NA	0.15813471998495443
ACTR3B	0.1383967342369814	NA
ACTR5	0.14444490568471663	0.07093184362413518
ACTR6	0.1703630794531612	0.09865858082771783
