a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
mouse_3W	IRI_7d	0.812237	0.752653	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_14d	0.637268	0.556659	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_28d	0.757657	0.664829	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_12mo	0.644791	0.624005	same_species_diff_dataset	podtreck	iri	False	
IRI_2h	IRI_4h	0.658673	0.473748	within_dataset	iri	iri	True	
IRI_2h	IRI_24h	0.180769	0.201874	within_dataset	iri	iri	True	
IRI_2h	IRI_48h	0.226506	0.205939	within_dataset	iri	iri	True	
IRI_2h	IRI_72h	0.232631	0.194733	within_dataset	iri	iri	True	
IRI_2h	IRI_7d	0.300497	0.366779	within_dataset	iri	iri	True	
IRI_2h	IRI_14d	0.515795	0.641414	within_dataset	iri	iri	True	
IRI_2h	IRI_28d	0.20816	0.255248	within_dataset	iri	iri	True	
IRI_2h	IRI_12mo	0.278642	0.341957	within_dataset	iri	iri	False	
IRI_4h	IRI_24h	0.357201	0.35396	within_dataset	iri	iri	True	
IRI_4h	IRI_48h	0.371916	0.351831	within_dataset	iri	iri	True	
IRI_4h	IRI_72h	0.415707	0.400515	within_dataset	iri	iri	True	
IRI_4h	IRI_7d	0.360845	0.359827	within_dataset	iri	iri	True	
IRI_4h	IRI_14d	0.300309	0.304934	within_dataset	iri	iri	True	
IRI_4h	IRI_28d	0.270518	0.24089	within_dataset	iri	iri	True	
IRI_4h	IRI_12mo	0.310734	0.302771	within_dataset	iri	iri	False	
IRI_24h	IRI_48h	0.832517	0.774124	within_dataset	iri	iri	True	
IRI_24h	IRI_72h	0.775187	0.703639	within_dataset	iri	iri	True	
IRI_24h	IRI_7d	0.788852	0.736817	within_dataset	iri	iri	True	
IRI_24h	IRI_14d	0.614342	0.55875	within_dataset	iri	iri	True	
IRI_24h	IRI_28d	0.675648	0.638636	within_dataset	iri	iri	True	
IRI_24h	IRI_12mo	0.570789	0.543437	within_dataset	iri	iri	False	
IRI_48h	IRI_72h	0.924008	0.882908	within_dataset	iri	iri	True	
IRI_48h	IRI_7d	0.820112	0.780505	within_dataset	iri	iri	True	
IRI_48h	IRI_14d	0.630824	0.54595	within_dataset	iri	iri	True	
IRI_48h	IRI_28d	0.667561	0.581522	within_dataset	iri	iri	True	
IRI_48h	IRI_12mo	0.680261	0.661605	within_dataset	iri	iri	False	
IRI_72h	IRI_7d	0.837673	0.779543	within_dataset	iri	iri	True	
IRI_72h	IRI_14d	0.656095	0.57615	within_dataset	iri	iri	True	
IRI_72h	IRI_28d	0.727522	0.659101	within_dataset	iri	iri	True	
IRI_72h	IRI_12mo	0.673686	0.591395	within_dataset	iri	iri	False	
IRI_7d	IRI_14d	0.83915	0.778003	within_dataset	iri	iri	True	
IRI_7d	IRI_28d	0.867517	0.750192	within_dataset	iri	iri	True	
IRI_7d	IRI_12mo	0.799252	0.747529	within_dataset	iri	iri	False	
IRI_14d	IRI_28d	0.826471	0.753524	within_dataset	iri	iri	True	
IRI_14d	IRI_12mo	0.742402	0.636619	within_dataset	iri	iri	False	
IRI_28d	IRI_12mo	0.764021	0.541548	within_dataset	iri	iri	False	
