pathway	n_genes	auc_cat_over_mouse	cat_median	mouse_median
The Role of GTSE1 in G2 M Progression After G2 Checkpoint	36	0.7222	0.7655	0.6237
Thermogenesis	60	1.0	0.9016	0.4656
Tight junction	47	1.0	0.8184	0.5669
Transcriptional Regulation by RUNX1	40	0.7778	0.7001	0.5657
Transcriptional Regulation by RUNX2	35	0.6667	0.759	0.789
Transcriptional Regulation by RUNX3	32	0.9167	0.9471	0.8391
Transcriptional Regulation by TP53	47	1.0	0.8963	-0.0024
Translation	126	1.0	0.6961	0.439
Translation (GO:0006412)	93	1.0	0.6782	0.464
Translation Initiation Complex Formation	46	1.0	0.7845	0.5524
Transmission Across Chemical Synapses	45	1.0	0.8478	0.4364
Transport of Small Molecules	132	1.0	0.7931	0.3474
Transport to the Golgi and Subsequent Modification	62	1.0	0.7379	0.4928
UCH Proteinases	33	0.8611	0.5486	-0.3607
UV Response Up	34	1.0	0.9081	0.2386
Ub-specific Processing Proteases	48	0.9722	0.8076	-0.0154
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	61	0.9167	0.6991	0.317
Unfolded Protein Response	31	1.0	0.8298	0.0888
Valine, leucine and isoleucine degradation	37	1.0	0.9442	0.8333
Vesicle-Mediated Transport (GO:0016192)	83	1.0	0.8081	0.3365
Vesicle-mediated Transport	185	0.9444	0.7175	0.5258
Vif-mediated Degradation of APOBEC3G	30	0.8889	0.8282	-0.3426
Viral Infection Pathways	239	1.0	0.7245	0.4054
Viral carcinogenesis	36	0.9722	0.8717	0.6645
Viral mRNA Translation	63	0.7222	0.8035	0.6314
Xenobiotic Metabolism	71	1.0	0.8874	0.4832
Yersinia infection	34	0.4444	0.6646	0.7524
heme Metabolism	47	1.0	0.877	0.3792
mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	1.0	0.7845	0.5524
mRNA Processing (GO:0006397)	61	1.0	0.6207	0.3485
mRNA Splicing	70	1.0	0.6301	0.1852
