collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
Reactome	MAPK1 MAPK3 Signaling	61	0.6256	0.766	0.6423	0.6581	0.8164	0.6423	0.6708	0.8283	0.6423
Reactome	MAPK6 MAPK4 Signaling	35	0.7431	0.4613	-0.0781	0.7329	0.5645	-0.0781	0.722	0.5645	-0.0781
Reactome	MHC Class II Antigen Presentation	48	0.8996	0.7926	0.3768	0.9049	0.7958	0.3768	0.894	0.8321	0.3768
Reactome	Macroautophagy	39	0.7555	0.8022	0.5667	0.7826	0.815	0.5667	0.7649	0.8293	0.5667
Reactome	Major Pathway of rRNA Processing in the Nucleolus and Cytosol	66	0.6525	0.9082	0.6636	0.7057	0.9303	0.6636	0.7208	0.9308	0.6636
Reactome	Membrane Trafficking	176	0.8614	0.704	0.3173	0.8707	0.7043	0.3173	0.856	0.6991	0.3173
Reactome	Metabolism of RNA	211	0.7083	0.6891	0.3715	0.7607	0.7506	0.3715	0.7423	0.7674	0.3715
Reactome	Metabolism of Amino Acids and Derivatives	191	0.7642	0.7845	0.5321	0.8045	0.787	0.5321	0.7821	0.7792	0.5321
Reactome	Metabolism of Carbohydrates	76	0.706	0.5918	0.3118	0.7196	0.5941	0.3118	0.6875	0.5805	0.3118
Reactome	Metabolism of Lipids	144	0.7807	0.6504	0.4082	0.7233	0.6258	0.4082	0.6917	0.6242	0.4082
Reactome	Metabolism of Nucleotides	39	0.6345	0.6514	0.5391	0.6448	0.6547	0.5391	0.6042	0.623	0.5391
Reactome	Metabolism of Polyamines	31	0.6201	0.3261	-0.1168	0.6063	0.2777	-0.1168	0.5738	0.2196	-0.1168
Reactome	Metabolism of Vitamins and Cofactors	61	0.7549	0.6788	0.4388	0.7222	0.6399	0.4388	0.6905	0.6022	0.4388
Reactome	Metabolism of Water-Soluble Vitamins and Cofactors	40	0.7896	0.8045	0.5628	0.7959	0.8103	0.5628	0.7726	0.8074	0.5628
Reactome	Mitochondrial Protein Degradation	57	0.6916	0.726	0.6167	0.688	0.7452	0.6167	0.6524	0.7162	0.6167
Reactome	Mitochondrial Protein Import	32	0.4598	0.5653	0.6156	0.4476	0.5692	0.6156	0.3845	0.5131	0.6156
Reactome	Mitotic Anaphase	69	0.7338	0.7129	0.5014	0.7521	0.7415	0.5014	0.7363	0.7415	0.5014
Reactome	Mitotic G1 Phase and G1 S Transition	38	0.737	0.5169	0.0682	0.7409	0.6739	0.0682	0.7351	0.6739	0.0682
Reactome	Mitotic G2-G2 M Phases	58	0.7326	0.7492	0.4793	0.7612	0.7809	0.4793	0.753	0.7978	0.4793
Reactome	Mitotic Metaphase and Anaphase	69	0.7338	0.7129	0.5014	0.7521	0.7415	0.5014	0.7363	0.7415	0.5014
Reactome	Mitotic Prometaphase	38	0.6863	0.795	0.6028	0.7495	0.8329	0.6028	0.7381	0.8423	0.6028
Reactome	Muscle Contraction	37	0.8533	0.8784	0.6345	0.89	0.8733	0.6345	0.8774	0.8739	0.6345
Reactome	NIK-->noncanonical NF-kB Signaling	31	0.6904	0.3595	-0.1707	0.7003	0.5031	-0.1707	0.6911	0.5031	-0.1707
Reactome	Neddylation	54	0.6519	0.3567	0.0268	0.6656	0.5135	0.0268	0.6429	0.5135	0.0268
Reactome	Negative Regulation of NOTCH4 Signaling	30	0.6803	0.3792	-0.1387	0.6859	0.4758	-0.1387	0.6756	0.4758	-0.1387
Reactome	Nervous System Development	184	0.7546	0.7919	0.5176	0.7949	0.7878	0.5176	0.7839	0.8195	0.5176
Reactome	Neuronal System	51	0.8715	0.7786	0.3984	0.8932	0.7814	0.3984	0.881	0.7814	0.3984
Reactome	Neurotransmitter Receptors and Postsynaptic Signal Transmission	35	0.8556	0.7965	0.5072	0.8819	0.8102	0.5072	0.8738	0.8183	0.5072
Reactome	Neutrophil Degranulation	179	0.8828	0.7249	0.2628	0.8884	0.7314	0.2628	0.8756	0.7184	0.2628
Reactome	Nonsense Mediated Decay (NMD) Enhanced by the Exon Junction Complex (EJC)	72	0.6797	0.9032	0.6584	0.7313	0.9296	0.6584	0.7476	0.9305	0.6584
Reactome	Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC)	67	0.6791	0.9077	0.6685	0.7297	0.9308	0.6685	0.7458	0.9319	0.6685
Reactome	Nonsense-Mediated Decay (NMD)	72	0.6797	0.9032	0.6584	0.7313	0.9296	0.6584	0.7476	0.9305	0.6584
Reactome	Nuclear Events Mediated by NFE2L2	42	0.7057	0.4448	0.1538	0.7324	0.5316	0.1538	0.7042	0.4575	0.1538
Reactome	Organelle Biogenesis and Maintenance	52	0.737	0.7772	0.5243	0.7901	0.8098	0.5243	0.7667	0.8316	0.5243
Reactome	PCP CE Pathway	41	0.7911	0.586	0.0693	0.7746	0.6638	0.0693	0.7548	0.6638	0.0693
Reactome	PIP3 Activates AKT Signaling	53	0.7506	0.6885	0.3896	0.7623	0.6904	0.3896	0.7363	0.6904	0.3896
Reactome	PTEN Regulation	41	0.6785	0.4278	0.1325	0.6811	0.5356	0.1325	0.6708	0.5356	0.1325
Reactome	Parasitic Infection Pathways	42	0.735	0.7871	0.5719	0.7885	0.7904	0.5719	0.7643	0.7838	0.5719
Reactome	Peptide Chain Elongation	64	0.673	0.9251	0.6621	0.7228	0.9394	0.6621	0.7423	0.946	0.6621
Reactome	Peroxisomal Protein Import	33	0.6571	0.7164	0.6083	0.6426	0.7237	0.6083	0.603	0.7004	0.6083
Reactome	Platelet Activation, Signaling and Aggregation	70	0.7057	0.8056	0.637	0.7361	0.8078	0.637	0.7208	0.8078	0.637
Reactome	Platelet Degranulation	43	0.7054	0.8065	0.623	0.7329	0.8078	0.623	0.7167	0.8078	0.623
Reactome	Post-translational Protein Modification	281	0.7436	0.7536	0.4657	0.7858	0.755	0.4657	0.7613	0.7571	0.4657
Reactome	Processing of Capped Intron-Containing Pre-mRNA	79	0.7656	0.5753	0.2156	0.8013	0.6381	0.2156	0.7804	0.6381	0.2156
Reactome	Programmed Cell Death	74	0.7668	0.7423	0.4517	0.8098	0.7526	0.4517	0.7887	0.7526	0.4517
Reactome	Proteasome Assembly	33	0.557	0.4853	0.3253	0.5732	0.5199	0.3253	0.5411	0.4607	0.3253
Reactome	Protein Folding	33	0.7691	0.816	0.5897	0.7933	0.8208	0.5897	0.8006	0.8366	0.5897
Reactome	Protein Localization	74	0.6053	0.6787	0.598	0.6052	0.6732	0.598	0.5601	0.651	0.598
Reactome	RAF MAP Kinase Cascade	60	0.623	0.7665	0.6433	0.656	0.8186	0.6433	0.669	0.8285	0.6433
Reactome	RHO GTPase Effectors	78	0.752	0.7716	0.5713	0.7842	0.7839	0.5713	0.7649	0.7839	0.5713
Reactome	RHO GTPase Cycle	109	0.853	0.8069	0.4603	0.8787	0.8152	0.4603	0.8649	0.7938	0.4603
Reactome	RNA Polymerase II Transcription	126	0.7445	0.7445	0.5399	0.7837	0.7661	0.5399	0.7613	0.7661	0.5399
Reactome	Regulation of APC C Activators Between G1 S and Early Anaphase	30	0.6745	0.4235	-0.0668	0.6736	0.4958	-0.0668	0.6613	0.4958	-0.0668
Reactome	Regulation of Apoptosis	31	0.715	0.4556	-0.0227	0.7035	0.4835	-0.0227	0.6899	0.4835	-0.0227
Reactome	Regulation of PTEN Stability and Activity	31	0.6858	0.3658	-0.1661	0.6928	0.4723	-0.1661	0.6827	0.4723	-0.1661
Reactome	Regulation of RAS by GAPs	30	0.6716	0.3894	-0.1105	0.6752	0.4911	-0.1105	0.6619	0.4911	-0.1105
Reactome	Regulation of RUNX2 Expression and Activity	30	0.6181	0.3591	0.0151	0.6287	0.4006	0.0151	0.6095	0.4006	0.0151
Reactome	Regulation of RUNX3 Expression and Activity	30	0.6953	0.5096	0.0325	0.6934	0.5336	0.0325	0.6839	0.5336	0.0325
Reactome	Regulation of Activated PAK-2p34 by Proteasome Mediated Degradation	30	0.7512	0.4418	-0.2032	0.7473	0.5033	-0.2032	0.7399	0.5033	-0.2032
Reactome	Regulation of Expression of SLITs and ROBOs	98	0.6615	0.7912	0.5603	0.7041	0.8308	0.5603	0.7131	0.8451	0.5603
Reactome	Regulation of mRNA Stability by Proteins That Bind AU-rich Elements	44	0.831	0.4918	-0.1728	0.8002	0.5276	-0.1728	0.7845	0.5276	-0.1728
Reactome	Regulation of Mitotic Cell Cycle	30	0.6745	0.4235	-0.0668	0.6736	0.4958	-0.0668	0.6613	0.4958	-0.0668
Reactome	Respiratory Electron Transport	65	0.4641	0.5937	0.7074	0.406	0.5122	0.7074	0.3381	0.4518	0.7074
Reactome	Response of EIF2AK4 (GCN2) to Amino Acid Deficiency	64	0.6522	0.9065	0.6707	0.7078	0.9362	0.6707	0.7226	0.9379	0.6707
Reactome	Response to Elevated Platelet Cytosolic Ca2+	44	0.7052	0.8065	0.623	0.7329	0.8078	0.623	0.7167	0.8078	0.623
Reactome	Ribosomal Scanning and Start Codon Recognition	46	0.6525	0.8256	0.5789	0.7153	0.8898	0.5789	0.7161	0.8926	0.5789
Reactome	S Phase	36	0.6881	0.2737	-0.0358	0.7089	0.5912	-0.0358	0.6988	0.5912	-0.0358
Reactome	SARS-CoV Infections	117	0.7199	0.7319	0.3841	0.7804	0.7667	0.3841	0.7577	0.7673	0.3841
Reactome	SARS-CoV-1 Infection	56	0.6646	0.8295	0.5391	0.7265	0.8661	0.5391	0.7238	0.8688	0.5391
Reactome	SARS-CoV-1-host Interactions	47	0.6658	0.8471	0.5447	0.7297	0.8742	0.5447	0.728	0.8914	0.5447
Reactome	SARS-CoV-2 Infection	83	0.7037	0.7245	0.4126	0.7548	0.7418	0.4126	0.7327	0.7418	0.4126
Reactome	SARS-CoV-2 Modulates Host Translation Machinery	31	0.6539	0.9332	0.7241	0.7009	0.9529	0.7241	0.7173	0.9574	0.7241
Reactome	SARS-CoV-2-host Interactions	61	0.6814	0.7568	0.3924	0.7521	0.796	0.3924	0.728	0.7911	0.3924
Reactome	SRP-dependent Cotranslational Protein Targeting to Membrane	73	0.7188	0.9186	0.6327	0.7724	0.9374	0.6327	0.7887	0.938	0.6327
Reactome	Selective Autophagy	32	0.7529	0.8125	0.5779	0.7821	0.8264	0.5779	0.7643	0.8393	0.5779
Reactome	Selenoamino Acid Metabolism	74	0.6959	0.873	0.6051	0.766	0.9015	0.6051	0.7595	0.9087	0.6051
Reactome	Selenocysteine Synthesis	62	0.6727	0.9267	0.6706	0.7233	0.9425	0.6706	0.7417	0.9461	0.6706
Reactome	Sensory Perception	38	0.8481	0.6893	0.3573	0.7516	0.6036	0.3573	0.7232	0.5658	0.3573
Reactome	Separation of Sister Chromatids	52	0.6869	0.7023	0.5145	0.7099	0.7416	0.5145	0.7006	0.7416	0.5145
Reactome	Signaling by ALK Fusions and Activated Point Mutants	30	0.7179	0.8132	0.6291	0.7569	0.8355	0.6291	0.7399	0.8365	0.6291
Reactome	Signaling by ALK in Cancer	30	0.7179	0.8132	0.6291	0.7569	0.8355	0.6291	0.7399	0.8365	0.6291
Reactome	Signaling by GPCR	35	0.8539	0.7744	0.4425	0.883	0.7839	0.4425	0.8696	0.765	0.4425
Reactome	Signaling by Hedgehog	42	0.6713	0.7466	0.6042	0.6613	0.7522	0.6042	0.6625	0.7779	0.6042
Reactome	Signaling by Interleukins	100	0.7535	0.7959	0.5672	0.8061	0.8175	0.5672	0.7851	0.8175	0.5672
Reactome	Signaling by NOTCH	41	0.6473	0.4749	0.1344	0.6645	0.5234	0.1344	0.6357	0.4756	0.1344
