collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	cat_CKD12	0.8257	0.2903	-0.5354	0.7733	0.97	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	cat_CKD34	1.0	0.6086	-0.3914	1.0	1.0	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	cat_med_CKD12	0.8752	0.6326	-0.2426	0.5473	0.953	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	cat_med_CKD34	-0.0071	0.6318	0.639	0.6682	0.9477	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	mouse_5D	-0.632	0.7577	1.3897	-0.11	0.7222	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	mouse_2W	-0.5107	0.7744	1.2851	0.112	0.7656	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	mouse_3W	-0.5642	0.7597	1.3239	0.0825	0.7801	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_2h	0.5196	0.7407	0.2211	-0.1979	0.5625	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_4h	0.124	0.6617	0.5378	-0.1049	0.68	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_24h	-0.5126	0.7713	1.2838	0.1401	0.7889	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_48h	-0.4602	0.7596	1.2199	0.1794	0.776	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_72h	-0.1954	0.6257	0.8211	0.2199	0.8135	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_7d	-0.0971	0.7439	0.841	0.1642	0.8143	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_14d	0.4415	0.7396	0.2981	0.1012	0.781	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_28d	0.4801	0.5914	0.1113	0.0234	0.7997	False
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	IRI_12mo	-0.4534	0.7315	1.185	-0.0106	0.7887	False
Reactome	Activation of NF-kappaB in B Cells	30	cat_CKD12	0.8467	0.3696	-0.4771	0.7733	0.97	False
Reactome	Activation of NF-kappaB in B Cells	30	cat_CKD34	1.0	0.6698	-0.3302	1.0	1.0	False
Reactome	Activation of NF-kappaB in B Cells	30	cat_med_CKD12	0.8842	0.6753	-0.2089	0.5473	0.953	False
Reactome	Activation of NF-kappaB in B Cells	30	cat_med_CKD34	0.0154	0.6526	0.6372	0.6682	0.9477	False
Reactome	Activation of NF-kappaB in B Cells	30	mouse_5D	-0.4426	0.798	1.2407	-0.11	0.7222	False
Reactome	Activation of NF-kappaB in B Cells	30	mouse_2W	-0.2108	0.8135	1.0243	0.112	0.7656	False
Reactome	Activation of NF-kappaB in B Cells	30	mouse_3W	-0.4077	0.7987	1.2063	0.0825	0.7801	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_2h	0.464	0.7773	0.3133	-0.1979	0.5625	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_4h	0.3102	0.6403	0.3301	-0.1049	0.68	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_24h	-0.3283	0.8092	1.1375	0.1401	0.7889	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_48h	-0.3458	0.7965	1.1424	0.1794	0.776	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_72h	0.072	0.7178	0.6459	0.2199	0.8135	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_7d	0.2049	0.7965	0.5916	0.1642	0.8143	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_14d	0.5415	0.7798	0.2383	0.1012	0.781	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_28d	0.5819	0.74	0.1581	0.0234	0.7997	False
Reactome	Activation of NF-kappaB in B Cells	30	IRI_12mo	-0.0791	0.764	0.8431	-0.0106	0.7887	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	cat_CKD12	0.8983	0.7053	-0.193	0.7683	0.9607	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	cat_CKD34	1.0	0.7974	-0.2026	1.0	1.0	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	cat_med_CKD12	0.6598	0.5207	-0.1391	0.6132	0.9292	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	cat_med_CKD34	0.7845	0.8295	0.045	0.7046	0.9424	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	mouse_5D	0.5349	0.8765	0.3416	-0.0554	0.6564	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	mouse_2W	0.5378	0.8902	0.3524	0.2149	0.7213	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	mouse_3W	0.5299	0.8788	0.3488	0.1529	0.7198	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_2h	0.0363	0.7892	0.7529	-0.1588	0.47	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_4h	0.3559	0.7685	0.4126	-0.0217	0.6035	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_24h	0.6135	0.8887	0.2752	0.2369	0.7239	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_48h	0.6278	0.8871	0.2593	0.2149	0.7277	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_72h	0.567	0.8759	0.3089	0.2557	0.7616	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_7d	0.5832	0.8886	0.3054	0.1777	0.7544	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_14d	0.4459	0.855	0.4091	0.108	0.6979	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_28d	0.5904	0.8529	0.2625	0.0395	0.746	False
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	IRI_12mo	0.5826	0.8789	0.2963	-0.0007	0.7354	False
Reactome	Adaptive Immune System	150	cat_CKD12	0.9112	0.8229	-0.0883	0.8359	0.95	False
Reactome	Adaptive Immune System	150	cat_CKD34	1.0	0.8978	-0.1022	1.0	1.0	False
Reactome	Adaptive Immune System	150	cat_med_CKD12	0.7172	0.8086	0.0914	0.6496	0.8933	False
Reactome	Adaptive Immune System	150	cat_med_CKD34	0.7946	0.7707	-0.0239	0.7463	0.9208	False
Reactome	Adaptive Immune System	150	mouse_5D	0.5277	0.9377	0.41	0.1002	0.5549	False
Reactome	Adaptive Immune System	150	mouse_2W	0.5071	0.9449	0.4378	0.2545	0.6667	False
Reactome	Adaptive Immune System	150	mouse_3W	0.5155	0.9171	0.4016	0.2121	0.667	False
Reactome	Adaptive Immune System	150	IRI_2h	0.2826	0.8574	0.5747	-0.0219	0.4034	False
Reactome	Adaptive Immune System	150	IRI_4h	0.4445	0.8843	0.4398	0.0513	0.5267	False
Reactome	Adaptive Immune System	150	IRI_24h	0.6068	0.9393	0.3325	0.2857	0.6843	False
Reactome	Adaptive Immune System	150	IRI_48h	0.6793	0.9315	0.2522	0.2951	0.6625	True
Reactome	Adaptive Immune System	150	IRI_72h	0.6945	0.9135	0.219	0.3376	0.7126	False
Reactome	Adaptive Immune System	150	IRI_7d	0.6635	0.9385	0.275	0.2362	0.7152	False
Reactome	Adaptive Immune System	150	IRI_14d	0.6198	0.9208	0.301	0.1911	0.6496	False
Reactome	Adaptive Immune System	150	IRI_28d	0.6249	0.9221	0.2973	0.1991	0.6838	False
Reactome	Adaptive Immune System	150	IRI_12mo	0.6842	0.8721	0.1879	0.0924	0.662	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	cat_CKD12	0.9367	0.8383	-0.0984	0.8359	0.95	False
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	cat_CKD34	1.0	0.95	-0.05	1.0	1.0	False
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	cat_med_CKD12	0.9573	0.9343	-0.023	0.6496	0.8933	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	cat_med_CKD34	0.9206	0.8372	-0.0835	0.7463	0.9208	False
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	mouse_5D	0.4206	0.9094	0.4888	0.1002	0.5549	False
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	mouse_2W	0.7626	0.9697	0.207	0.2545	0.6667	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	mouse_3W	0.6194	0.8568	0.2373	0.2121	0.667	False
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_2h	0.4232	0.9126	0.4893	-0.0219	0.4034	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_4h	0.6345	0.8904	0.2559	0.0513	0.5267	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_24h	0.7894	0.9662	0.1768	0.2857	0.6843	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_48h	0.4938	0.9097	0.4159	0.2951	0.6625	False
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_72h	0.7168	0.875	0.1582	0.3376	0.7126	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_7d	0.7536	0.9514	0.1978	0.2362	0.7152	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_14d	0.7215	0.9371	0.2156	0.1911	0.6496	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_28d	0.8283	0.8827	0.0544	0.1991	0.6838	True
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	IRI_12mo	0.2908	0.8492	0.5584	0.0924	0.662	False
Reactome	Antigen processing-Cross Presentation	41	cat_CKD12	0.8833	0.7014	-0.1819	0.7683	0.9607	False
Reactome	Antigen processing-Cross Presentation	41	cat_CKD34	1.0	0.8961	-0.1039	1.0	1.0	False
Reactome	Antigen processing-Cross Presentation	41	cat_med_CKD12	0.7201	0.6091	-0.111	0.6132	0.9292	False
Reactome	Antigen processing-Cross Presentation	41	cat_med_CKD34	0.8415	0.8347	-0.0068	0.7046	0.9424	False
Reactome	Antigen processing-Cross Presentation	41	mouse_5D	0.6843	0.9419	0.2576	-0.0554	0.6564	True
Reactome	Antigen processing-Cross Presentation	41	mouse_2W	0.6693	0.9433	0.2739	0.2149	0.7213	False
Reactome	Antigen processing-Cross Presentation	41	mouse_3W	0.6701	0.9311	0.261	0.1529	0.7198	False
Reactome	Antigen processing-Cross Presentation	41	IRI_2h	0.153	0.8837	0.7307	-0.1588	0.47	False
Reactome	Antigen processing-Cross Presentation	41	IRI_4h	0.3279	0.8642	0.5363	-0.0217	0.6035	False
Reactome	Antigen processing-Cross Presentation	41	IRI_24h	0.7935	0.939	0.1456	0.2369	0.7239	True
Reactome	Antigen processing-Cross Presentation	41	IRI_48h	0.8687	0.935	0.0663	0.2149	0.7277	True
Reactome	Antigen processing-Cross Presentation	41	IRI_72h	0.9223	0.9215	-0.0008	0.2557	0.7616	True
Reactome	Antigen processing-Cross Presentation	41	IRI_7d	0.8674	0.9327	0.0653	0.1777	0.7544	True
Reactome	Antigen processing-Cross Presentation	41	IRI_14d	0.7228	0.9142	0.1914	0.108	0.6979	True
Reactome	Antigen processing-Cross Presentation	41	IRI_28d	0.7736	0.9152	0.1415	0.0395	0.746	True
Reactome	Antigen processing-Cross Presentation	41	IRI_12mo	0.7464	0.8156	0.0692	-0.0007	0.7354	True
