a	b	cls	shared_control	cos_obs	ceiling_obs	n_ok	frac_undefined	cos_lo	cos_hi	ceil_lo	ceil_hi	gap_median	gap_lo	gap_hi	p_gap_le0	jack_n	jack_min	jack_median	gap_sb_median	gap_sb_lo	gap_sb_hi	p_gap_sb_le0
IRI_48h	IRI_7d	within_dataset	True	0.8656	0.9406	782	0.218	0.8219	0.8812	0.8622	0.9561	0.0508	-0.0077	0.1216	0.0396	18	0.0472	0.0727	0.0904	0.0547	0.1443	0.0
IRI_48h	IRI_14d	within_dataset	True	0.6882	0.91	795	0.205	0.5543	0.7486	0.814	0.9274	0.1983	0.1049	0.3086	0.0	18	0.1549	0.2215	0.2544	0.173	0.3478	0.0
IRI_48h	IRI_28d	within_dataset	True	0.755	0.9099	775	0.225	0.6908	0.7819	0.7968	0.9381	0.1306	0.0444	0.1913	0.0077	18	0.1143	0.1556	0.1878	0.1265	0.2328	0.0
IRI_48h	IRI_12mo	within_dataset	False	0.7242	0.8693	673	0.327	0.5484	0.7704	0.767	0.8926	0.1344	0.0321	0.2656	0.0059	15	0.1102	0.1409	0.2038	0.1224	0.3295	0.0
IRI_72h	IRI_7d	within_dataset	True	0.8943	0.8805	765	0.235	0.7672	0.9316	0.7639	0.9152	-0.042	-0.1406	0.1077	0.7647	18	-0.0785	-0.0135	0.0279	-0.0487	0.1505	0.2235
IRI_72h	IRI_14d	within_dataset	True	0.7174	0.8519	791	0.209	0.5703	0.7888	0.7221	0.8923	0.1153	-0.0253	0.2538	0.067	18	0.0632	0.1312	0.1956	0.0796	0.3097	0.0
IRI_72h	IRI_28d	within_dataset	True	0.8046	0.8518	786	0.214	0.6821	0.8328	0.7158	0.9027	0.0216	-0.0929	0.1493	0.3524	18	-0.0234	0.0501	0.1036	0.0191	0.2023	0.0064
IRI_72h	IRI_12mo	within_dataset	False	0.7253	0.8138	718	0.282	0.5119	0.7904	0.6927	0.8541	0.0781	-0.0528	0.2741	0.1546	15	0.0139	0.0853	0.1715	0.0608	0.3543	0.0
IRI_7d	IRI_14d	within_dataset	True	0.8525	0.9219	794	0.206	0.7162	0.9053	0.8336	0.9273	0.048	-0.0344	0.1422	0.1776	18	0.0124	0.0694	0.0969	0.0279	0.1805	0.0025
IRI_7d	IRI_28d	within_dataset	True	0.9049	0.9218	799	0.201	0.8423	0.9209	0.819	0.9403	0.0033	-0.0773	0.0494	0.4656	18	-0.0168	0.0185	0.0509	0.0012	0.0877	0.0225
IRI_7d	IRI_12mo	within_dataset	False	0.8084	0.8807	700	0.3	0.6343	0.8434	0.7879	0.8946	0.0669	-0.0118	0.199	0.05	15	0.0375	0.0678	0.1308	0.066	0.2575	0.0
IRI_14d	IRI_28d	within_dataset	True	0.8471	0.8918	780	0.22	0.7121	0.9271	0.776	0.9117	0.0102	-0.1131	0.1413	0.4282	18	-0.0065	0.0465	0.0789	-0.0187	0.1925	0.0654
IRI_14d	IRI_12mo	within_dataset	False	0.7578	0.8521	688	0.312	0.5944	0.8003	0.7446	0.8666	0.0871	-0.0045	0.1972	0.032	15	0.0482	0.0879	0.1681	0.0944	0.2736	0.0
IRI_28d	IRI_12mo	within_dataset	False	0.7901	0.852	704	0.296	0.59	0.8347	0.7367	0.8743	0.0507	-0.052	0.2115	0.1648	15	0.0093	0.049	0.1329	0.0467	0.2883	0.0
