collection	pathway	n_genes	auc
Reactome	Regulation of Activated PAK-2p34 by Proteasome Mediated Degradation	30	0.7473
Reactome	Regulation of Expression of SLITs and ROBOs	98	0.7041
Reactome	Regulation of mRNA Stability by Proteins That Bind AU-rich Elements	44	0.8002
Reactome	Regulation of Mitotic Cell Cycle	30	0.6736
Reactome	Respiratory Electron Transport	65	0.406
Reactome	Response of EIF2AK4 (GCN2) to Amino Acid Deficiency	64	0.7078
Reactome	Response to Elevated Platelet Cytosolic Ca2+	44	0.7329
Reactome	Ribosomal Scanning and Start Codon Recognition	46	0.7153
Reactome	S Phase	36	0.7089
Reactome	SARS-CoV Infections	117	0.7804
Reactome	SARS-CoV-1 Infection	56	0.7265
Reactome	SARS-CoV-1-host Interactions	47	0.7297
Reactome	SARS-CoV-2 Infection	83	0.7548
Reactome	SARS-CoV-2 Modulates Host Translation Machinery	31	0.7009
Reactome	SARS-CoV-2-host Interactions	61	0.7521
Reactome	SRP-dependent Cotranslational Protein Targeting to Membrane	73	0.7724
Reactome	Selective Autophagy	32	0.7821
Reactome	Selenoamino Acid Metabolism	74	0.766
Reactome	Selenocysteine Synthesis	62	0.7233
Reactome	Sensory Perception	38	0.7516
Reactome	Separation of Sister Chromatids	52	0.7099
Reactome	Signaling by ALK Fusions and Activated Point Mutants	30	0.7569
Reactome	Signaling by ALK in Cancer	30	0.7569
Reactome	Signaling by GPCR	35	0.883
Reactome	Signaling by Hedgehog	42	0.6613
Reactome	Signaling by Interleukins	100	0.8061
Reactome	Signaling by NOTCH	41	0.6645
Reactome	Signaling by NOTCH4	31	0.7196
Reactome	Signaling by Nuclear Receptors	37	0.8328
Reactome	Signaling by ROBO Receptors	112	0.7244
Reactome	Signaling by Receptor Tyrosine Kinases	98	0.7788
Reactome	Signaling by Rho GTPases	166	0.8563
Reactome	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	170	0.8568
Reactome	Signaling by WNT	63	0.797
Reactome	Signaling by the B Cell Receptor (BCR)	37	0.7308
Reactome	Synthesis of DNA	33	0.7212
Reactome	TCF Dependent Signaling in Response to WNT	41	0.711
Reactome	TCR Signaling	35	0.6875
Reactome	TNFR2 Non-Canonical NF-kB Pathway	31	0.7003
Reactome	The Role of GTSE1 in G2 M Progression After G2 Checkpoint	36	0.6613
Reactome	Transcriptional Regulation by TP53	47	0.8504
Reactome	Transcriptional Regulation by RUNX1	40	0.8007
Reactome	Transcriptional Regulation by RUNX2	35	0.6084
Reactome	Transcriptional Regulation by RUNX3	32	0.5817
Reactome	Translation	126	0.75
Reactome	Translation Initiation Complex Formation	46	0.7233
Reactome	Transmission Across Chemical Synapses	45	0.899
Reactome	Transport of Small Molecules	132	0.6891
Reactome	Transport to the Golgi and Subsequent Modification	62	0.8782
Reactome	UCH Proteinases	33	0.6448
Reactome	Ub-specific Processing Proteases	48	0.6325
Reactome	Vesicle-mediated Transport	185	0.8376
Reactome	Vif-mediated Degradation of APOBEC3G	30	0.6816
Reactome	Viral Infection Pathways	239	0.7799
Reactome	Viral mRNA Translation	63	0.7153
Reactome	mRNA Splicing	70	0.8114
Reactome	mRNA Splicing - Major Pathway	70	0.8114
Reactome	rRNA Processing	68	0.7596
Reactome	rRNA Processing in the Nucleus and Cytosol	67	0.7585
Reactome	trans-Golgi Network Vesicle Budding	30	0.8627
