dataset,module,z,mean_lfc,n_genes
cat_rna_med_prog,B_plasma,3.7825706086304,2.1698834897657853,5
cat_rna_med_prog,T_cell,3.7096358506815585,0.9942131547336132,6
cat_rna_med_prog,Osteoclast_like_Mac,-0.3585883410067961,0.035070921866931254,11
cat_rna_med_prog,Tubular_injury,3.854434752733693,1.0497850734560552,13
cat_rna_med_prog,OXPHOS,1.7603434763425105,0.13732471704902205,21
cat_rna_med_prog,FAO_PPARA,2.2816393171091907,0.23121212463469898,17
cat_rna_med_prog,Glycolysis,-0.44161891111306756,-0.06335007670292038,13
cat_rna_med_prog,Hypoxia,2.0193227222113066,0.2556146998904038,12
cat_rna_med_prog,PT_transport,4.931188470320629,1.2159244090195762,16
cat_rna_med_prog,Podocyte,0.45627824719984256,0.3242910306786131,12
cat_rna_med_prog,TAL,-2.5068429943218122,-0.7212514401490466,9
cat_rna_med_prog,CD_principal,-0.842488415494496,-0.31642594571497856,8
cat_rna_med_prog,CD_intercalated,-0.4742614610537168,-0.15935310781429035,9
cat_rna_med_prog,Osmotic_TonEBP,-4.09398126201248,-1.5059043775709575,10
cat_rna_med_prog,Urea_concentration,-3.903119664715861,-1.4832921523670208,10
cat_rna_med_prog,MR_downstream,1.6491369367813227,0.22313724156695483,11
cat_rna_med_prog,MR_regulators,,,3
cat_rna_med_prog,Cell_cycle,3.3195567433574373,0.9210276677101186,10
cat_rna_med_prog,ER_proteostasis,1.9959239825818456,0.2185500750177881,11
cat_rna_med_prog,Lysosome,2.218855771639484,0.2580710924641896,13
cat_rna_med_prog,Redox_ferroptosis,1.2648195454247726,0.2509078129469524,12
cat_rna_med_prog,Ciliogenesis,1.7970708512281794,0.8636582243706482,7
cat_rna_med_prog,Matrix_integrin,1.5385707087064946,0.24198238447323722,13
cat_prot_ctx_early,ECM_fibrosis,3.0731976616525363,0.2759365705128205,13
cat_prot_ctx_early,Complement,0.7370364259058878,0.08689248299319728,14
cat_prot_ctx_early,Innate_immune,,,3
cat_prot_ctx_early,Lymphocyte,,,0
cat_prot_ctx_early,B_plasma,,,2
cat_prot_ctx_early,T_cell,,,0
cat_prot_ctx_early,Osteoclast_like_Mac,,,3
cat_prot_ctx_early,Tubular_injury,2.806824855098138,0.3270447619047619,7
cat_prot_ctx_early,OXPHOS,-5.522688891518146,-0.2536399166666667,20
cat_prot_ctx_early,FAO_PPARA,-4.1850353892821035,-0.25036305555555555,12
cat_prot_ctx_early,Glycolysis,1.010448264239972,0.11881541666666666,12
cat_prot_ctx_early,Hypoxia,,,2
cat_prot_ctx_early,PT_transport,-4.097404785979104,-0.26618793981481476,12
cat_prot_ctx_early,Podocyte,-0.8602278480453953,-0.04322209523809522,5
cat_prot_ctx_early,TAL,,,3
cat_prot_ctx_early,CD_principal,,,0
cat_prot_ctx_early,CD_intercalated,,,4
cat_prot_ctx_early,Osmotic_TonEBP,,,3
cat_prot_ctx_early,Urea_concentration,,,3
cat_prot_ctx_early,MR_downstream,,,1
cat_prot_ctx_early,MR_regulators,,,1
cat_prot_ctx_early,Cell_cycle,,,1
cat_prot_ctx_early,ER_proteostasis,0.8926006107639475,0.11299999999999999,5
cat_prot_ctx_early,Lysosome,0.39838220424671444,0.06821083333333333,12
cat_prot_ctx_early,Redox_ferroptosis,-0.5816312620855381,-0.013209999999999987,9
cat_prot_ctx_early,Ciliogenesis,,,0
cat_prot_ctx_early,Matrix_integrin,,,2
cat_prot_ctx_late,ECM_fibrosis,4.4772738495167586,0.7353152747252747,13
cat_prot_ctx_late,Complement,1.866930116932652,0.339995850340136,14
cat_prot_ctx_late,Innate_immune,,,3
cat_prot_ctx_late,Lymphocyte,,,0
cat_prot_ctx_late,B_plasma,,,2
cat_prot_ctx_late,T_cell,,,0
cat_prot_ctx_late,Osteoclast_like_Mac,,,3
cat_prot_ctx_late,Tubular_injury,3.460375300880757,0.8449238095238095,7
cat_prot_ctx_late,OXPHOS,-5.605709363651207,-0.46516422619047615,20
cat_prot_ctx_late,FAO_PPARA,-4.324570273003034,-0.47450674603174603,12
cat_prot_ctx_late,Glycolysis,1.382204246713851,0.262910119047619,12
cat_prot_ctx_late,Hypoxia,,,2
cat_prot_ctx_late,PT_transport,-3.9066397034041125,-0.4630183432539681,12
cat_prot_ctx_late,Podocyte,-0.8330764986685454,-0.033578095238095206,5
cat_prot_ctx_late,TAL,,,3
cat_prot_ctx_late,CD_principal,,,0
cat_prot_ctx_late,CD_intercalated,,,4
cat_prot_ctx_late,Osmotic_TonEBP,,,3
cat_prot_ctx_late,Urea_concentration,,,3
cat_prot_ctx_late,MR_downstream,,,1
cat_prot_ctx_late,MR_regulators,,,1
cat_prot_ctx_late,Cell_cycle,,,1
cat_prot_ctx_late,ER_proteostasis,0.17726698295078103,0.15820714285714282,5
cat_prot_ctx_late,Lysosome,2.081900910010113,0.3470232142857143,12
cat_prot_ctx_late,Redox_ferroptosis,-0.9758717896818245,-0.021124206349206323,9
cat_prot_ctx_late,Ciliogenesis,,,0
cat_prot_ctx_late,Matrix_integrin,,,2
cat_prot_ctx_prog,ECM_fibrosis,4.604210626648395,0.45937870421245425,13
cat_prot_ctx_prog,Complement,2.759049990626523,0.2531033673469388,14
cat_prot_ctx_prog,Innate_immune,,,3
cat_prot_ctx_prog,Lymphocyte,,,0
cat_prot_ctx_prog,B_plasma,,,2
cat_prot_ctx_prog,T_cell,,,0
cat_prot_ctx_prog,Osteoclast_like_Mac,,,3
cat_prot_ctx_prog,Tubular_injury,3.5680500535957864,0.5178790476190476,7
cat_prot_ctx_prog,OXPHOS,-4.786730681005258,-0.21152430952380952,20
cat_prot_ctx_prog,FAO_PPARA,-3.84732052578362,-0.2241436904761905,12
cat_prot_ctx_prog,Glycolysis,1.2419952814290518,0.14409470238095243,12
cat_prot_ctx_prog,Hypoxia,,,2
cat_prot_ctx_prog,PT_transport,-3.0923491742500837,-0.19683040343915348,12
cat_prot_ctx_prog,Podocyte,-0.6931426211109333,0.009644000000000008,5
cat_prot_ctx_prog,TAL,,,3
cat_prot_ctx_prog,CD_principal,,,0
cat_prot_ctx_prog,CD_intercalated,,,4
cat_prot_ctx_prog,Osmotic_TonEBP,,,3
cat_prot_ctx_prog,Urea_concentration,,,3
cat_prot_ctx_prog,MR_downstream,,,1
cat_prot_ctx_prog,MR_regulators,,,1
cat_prot_ctx_prog,Cell_cycle,,,1
cat_prot_ctx_prog,ER_proteostasis,-0.285350239124011,0.04520714285714287,5
cat_prot_ctx_prog,Lysosome,2.8419278732726654,0.2788123809523809,12
cat_prot_ctx_prog,Redox_ferroptosis,-1.1934240650286398,-0.007914206349206341,9
cat_prot_ctx_prog,Ciliogenesis,,,0
cat_prot_ctx_prog,Matrix_integrin,,,2
cat_prot_med_early,ECM_fibrosis,0.9475930702935597,0.08821510989010989,13
cat_prot_med_early,Complement,5.2800570330616186,0.7302856292517006,14
cat_prot_med_early,Innate_immune,,,3
cat_prot_med_early,Lymphocyte,,,0
cat_prot_med_early,B_plasma,,,2
cat_prot_med_early,T_cell,,,0
cat_prot_med_early,Osteoclast_like_Mac,,,3
cat_prot_med_early,Tubular_injury,1.8711632171520134,0.44342678571428573,8
cat_prot_med_early,OXPHOS,-5.467009758441931,-0.6273167919799499,19
cat_prot_med_early,FAO_PPARA,-4.546330615270572,-0.7247573412698411,12
cat_prot_med_early,Glycolysis,1.306893995552259,0.11629578373015871,12
cat_prot_med_early,Hypoxia,,,2
cat_prot_med_early,PT_transport,-3.6673939634439607,-0.6258856481481481,9
cat_prot_med_early,Podocyte,,,4
cat_prot_med_early,TAL,,,3
cat_prot_med_early,CD_principal,,,1
cat_prot_med_early,CD_intercalated,,,3
cat_prot_med_early,Osmotic_TonEBP,,,3
cat_prot_med_early,Urea_concentration,,,4
cat_prot_med_early,MR_downstream,,,2
cat_prot_med_early,MR_regulators,,,1
cat_prot_med_early,Cell_cycle,,,1
cat_prot_med_early,ER_proteostasis,-0.11426592822761755,-0.02539380952380955,5
cat_prot_med_early,Lysosome,1.0014825796886595,0.08543228174603175,12
cat_prot_med_early,Redox_ferroptosis,-0.7418006764728973,-0.13297863095238097,10
cat_prot_med_early,Ciliogenesis,,,0
cat_prot_med_early,Matrix_integrin,,,3
cat_prot_med_late,ECM_fibrosis,4.489760778001197,0.6672743589743588,13
cat_prot_med_late,Complement,4.747830578373988,0.7244392857142857,14
cat_prot_med_late,Innate_immune,,,3
cat_prot_med_late,Lymphocyte,,,0
cat_prot_med_late,B_plasma,,,2
cat_prot_med_late,T_cell,,,0
cat_prot_med_late,Osteoclast_like_Mac,,,3
cat_prot_med_late,Tubular_injury,3.848095728238139,0.8020802083333334,8
cat_prot_med_late,OXPHOS,-6.265263877266157,-0.7794995614035087,19
cat_prot_med_late,FAO_PPARA,-4.360266864343958,-0.6694837499999999,12
cat_prot_med_late,Glycolysis,-0.45478131949592293,-0.011656249999999998,12
cat_prot_med_late,Hypoxia,,,2
cat_prot_med_late,PT_transport,-2.6796071426213834,-0.37611814814814815,9
cat_prot_med_late,Podocyte,,,4
cat_prot_med_late,TAL,,,3
cat_prot_med_late,CD_principal,,,1
cat_prot_med_late,CD_intercalated,,,3
cat_prot_med_late,Osmotic_TonEBP,,,3
cat_prot_med_late,Urea_concentration,,,4
cat_prot_med_late,MR_downstream,,,2
cat_prot_med_late,MR_regulators,,,1
cat_prot_med_late,Cell_cycle,,,1
cat_prot_med_late,ER_proteostasis,0.18776361070568234,0.08509333333333331,5
cat_prot_med_late,Lysosome,2.2527798369162344,0.3216948611111112,12
cat_prot_med_late,Redox_ferroptosis,-0.7300260625606293,-0.05319958333333332,10
cat_prot_med_late,Ciliogenesis,,,0
cat_prot_med_late,Matrix_integrin,,,3
cat_prot_med_prog,ECM_fibrosis,4.150393549143715,0.5790592490842491,13
cat_prot_med_prog,Complement,-0.9265064008101881,-0.005846343537414962,14
cat_prot_med_prog,Innate_immune,,,3
cat_prot_med_prog,Lymphocyte,,,0
cat_prot_med_prog,B_plasma,,,2
cat_prot_med_prog,T_cell,,,0
cat_prot_med_prog,Osteoclast_like_Mac,,,3
cat_prot_med_prog,Tubular_injury,2.4027333596277543,0.3586534226190477,8
cat_prot_med_prog,OXPHOS,-3.74089568600283,-0.15218276942355893,19
cat_prot_med_prog,FAO_PPARA,-0.12898443291326944,0.05527359126984127,12
cat_prot_med_prog,Glycolysis,-2.640845070422535,-0.12795203373015873,12
cat_prot_med_prog,Hypoxia,,,2
cat_prot_med_prog,PT_transport,1.5535815249505867,0.24976749999999998,9
cat_prot_med_prog,Podocyte,,,4
cat_prot_med_prog,TAL,,,3
cat_prot_med_prog,CD_principal,,,1
cat_prot_med_prog,CD_intercalated,,,3
cat_prot_med_prog,Osmotic_TonEBP,,,3
cat_prot_med_prog,Urea_concentration,,,4
cat_prot_med_prog,MR_downstream,,,2
