n_iri,n_states,n_pairs,iri_set,rho_model,rho_entry,rho_time
6,11,55,IRI2h+IRI4h+IRI72h+IRI7d+IRI14d+IRI12m,0.10357146858204766,0.0,0.5651295506620009
6,11,55,IRI2h+IRI4h+IRI72h+IRI7d+IRI28d+IRI12m,-0.004817277608467333,-0.06928424943421167,0.6845732033117675
6,11,55,IRI2h+IRI4h+IRI72h+IRI14d+IRI28d+IRI12m,0.04817277608467334,-0.0623558244907905,0.6051781908592249
6,11,55,IRI2h+IRI4h+IRI7d+IRI14d+IRI28d+IRI12m,0.130066495428618,0.02309474981140389,0.6439436693176339
6,11,55,IRI2h+IRI24h+IRI48h+IRI72h+IRI7d+IRI14d,0.14451832825402,0.041570549660527,0.444753270920919
6,11,55,IRI2h+IRI24h+IRI48h+IRI72h+IRI7d+IRI28d,0.12043194021168334,0.01847579984912311,0.5339828792758219
6,11,55,IRI2h+IRI24h+IRI48h+IRI72h+IRI7d+IRI12m,0.10357146858204766,0.0207852748302635,0.5128177441266472
6,11,55,IRI2h+IRI24h+IRI48h+IRI72h+IRI14d+IRI28d,0.079485080539711,-0.04388002464166739,0.46665592047860266
6,11,55,IRI2h+IRI24h+IRI48h+IRI72h+IRI14d+IRI12m,0.043355498476206,-0.05311792456622894,0.4071461210142731
6,11,55,IRI2h+IRI24h+IRI48h+IRI72h+IRI28d+IRI12m,-0.014451832825402001,-0.08776004928333478,0.5384643266842701
6,11,55,IRI2h+IRI24h+IRI48h+IRI7d+IRI14d+IRI28d,0.14210968944978633,0.03926107467938661,0.48963984056714976
6,11,55,IRI2h+IRI24h+IRI48h+IRI7d+IRI14d+IRI12m,0.12284057901591701,0.041570549660527,0.4188757982884189
6,11,55,IRI2h+IRI24h+IRI48h+IRI7d+IRI28d+IRI12m,0.050581414888907,-0.0069284249434211674,0.54148851780058
6,11,55,IRI2h+IRI24h+IRI48h+IRI14d+IRI28d+IRI12m,0.04817277608467334,-0.04618949962280778,0.43824795254723975
6,11,55,IRI2h+IRI24h+IRI72h+IRI7d+IRI14d+IRI28d,0.13488377303708535,0.011547374905701945,0.4947769273873956
6,11,55,IRI2h+IRI24h+IRI72h+IRI7d+IRI14d+IRI12m,0.08189371934394465,-0.0069284249434211674,0.45274305588553926
6,11,55,IRI2h+IRI24h+IRI72h+IRI7d+IRI28d+IRI12m,0.012043194021168335,-0.04849897460394817,0.5736859197787887
6,11,55,IRI2h+IRI24h+IRI72h+IRI14d+IRI28d+IRI12m,0.026495026846570333,-0.07621267437763284,0.4806956885403637
6,11,55,IRI2h+IRI24h+IRI7d+IRI14d+IRI28d+IRI12m,0.12043194021168334,0.02771369977368467,0.514514600905548
6,11,55,IRI2h+IRI48h+IRI72h+IRI7d+IRI14d+IRI28d,0.166196077492123,0.05080844958508856,0.5046921888820843
6,11,55,IRI2h+IRI48h+IRI72h+IRI7d+IRI14d+IRI12m,0.14933560586248734,0.05080844958508856,0.42244883844269715
6,11,55,IRI2h+IRI48h+IRI72h+IRI7d+IRI28d+IRI12m,0.06744188651854267,-0.0023094749811403887,0.5562170874380503
6,11,55,IRI2h+IRI48h+IRI72h+IRI14d+IRI28d+IRI12m,0.06744188651854267,-0.034642124717105836,0.46146354962224057
6,11,55,IRI2h+IRI48h+IRI7d+IRI14d+IRI28d+IRI12m,0.15656152227518833,0.06004634950965012,0.4855266627220051
6,11,55,IRI2h+IRI72h+IRI7d+IRI14d+IRI28d+IRI12m,0.14933560586248734,0.041570549660527,0.5272235337466352
6,11,55,IRI4h+IRI24h+IRI48h+IRI72h+IRI7d+IRI14d,0.1252492178201507,0.03233264973596544,0.447460119522645
6,11,55,IRI4h+IRI24h+IRI48h+IRI72h+IRI7d+IRI28d,0.108388746190515,0.011547374905701945,0.5083987556505646
6,11,55,IRI4h+IRI24h+IRI48h+IRI72h+IRI7d+IRI12m,0.11320602379898234,0.03002317475482506,0.4746080775516722
6,11,55,IRI4h+IRI24h+IRI48h+IRI72h+IRI14d+IRI28d,0.04576413728043967,-0.06004634950965012,0.4653203489240151
6,11,55,IRI4h+IRI24h+IRI48h+IRI72h+IRI14d+IRI12m,0.02408638804233667,-0.06004634950965012,0.39740146604805965
6,11,55,IRI4h+IRI24h+IRI48h+IRI72h+IRI28d+IRI12m,-0.019269110433869332,-0.08776004928333478,0.5004690887295334
6,11,55,IRI4h+IRI24h+IRI48h+IRI7d+IRI14d+IRI28d,0.10357146858204766,0.01847579984912311,0.4961736662190706
6,11,55,IRI4h+IRI24h+IRI48h+IRI7d+IRI14d+IRI12m,0.09875419097358035,0.03002317475482506,0.40963642172786097
6,11,55,IRI4h+IRI24h+IRI48h+IRI7d+IRI28d+IRI12m,0.04576413728043967,-0.0069284249434211674,0.5017230675396018
6,11,55,IRI4h+IRI24h+IRI48h+IRI14d+IRI28d+IRI12m,0.007225916412701001,-0.06697477445307129,0.4343134309404817
6,11,55,IRI4h+IRI24h+IRI72h+IRI7d+IRI14d+IRI28d,0.09875419097358035,-0.0069284249434211674,0.5035452174512183
6,11,55,IRI4h+IRI24h+IRI72h+IRI7d+IRI14d+IRI12m,0.06021597010584167,-0.01616632486798272,0.4461041714192547
6,11,55,IRI4h+IRI24h+IRI72h+IRI7d+IRI28d+IRI12m,0.007225916412701001,-0.04849897460394817,0.5429488801830444
6,11,55,IRI4h+IRI24h+IRI72h+IRI14d+IRI28d+IRI12m,-0.012043194021168335,-0.09468847422675596,0.4814895111756953
