library,term,n_set,n_hit,expected,fold,p,q,n_tested_in_library
kegg,Toxoplasmosis,84,14,5.7,2.47,0.0014056087317135051,0.006831912207630757,209.0
gobp,Response To Amyloid-Beta (GO:1904645),34,8,2.3,3.48,0.0015808908444100759,0.011453392852358713,1065.0
gobp,Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720),20,6,1.4,4.44,0.0015971069032283945,0.01149269494552865,1065.0
gobp,Regulation Of Lymphocyte Differentiation (GO:0045619),14,5,0.9,5.29,0.0016687813484677922,0.011927866685357039,1065.0
gobp,Interferon-Mediated Signaling Pathway (GO:0140888),27,7,1.8,3.84,0.0016889911925937254,0.01199183746741545,1065.0
gobp,Cellular Response To Lipid (GO:0071396),155,21,10.5,2.0,0.0017443439612372046,0.012302823302765714,1065.0
gobp,Cellular Response To Lipopolysaccharide (GO:0071222),86,14,5.8,2.41,0.0017730674470331222,0.012423137046646547,1065.0
gobp,Regulation Of Angiogenesis (GO:0045765),156,21,10.5,1.99,0.0018908452109313836,0.01316176568393414,1065.0
gobp,Regulation Of Calcium Ion Transport (GO:0051924),35,8,2.4,3.38,0.0019298231891031964,0.013345855171395481,1065.0
gobp,T Cell Activation Involved In Immune Response (GO:0002286),9,4,0.6,6.58,0.0019834319154406785,0.013454490381810971,1065.0
gobp,Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002824),9,4,0.6,6.58,0.0019834319154406785,0.013454490381810971,1065.0
gobp,Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632),9,4,0.6,6.58,0.0019834319154406785,0.013454490381810971,1065.0
gobp,Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431),21,6,1.4,4.23,0.002109546884168571,0.014127693229511018,1065.0
gobp,Response To Interferon-Beta (GO:0035456),21,6,1.4,4.23,0.002109546884168571,0.014127693229511018,1065.0
gobp,Macrophage Activation (GO:0042116),28,7,1.9,3.7,0.0021224703443396835,0.014127693229511018,1065.0
gobp,Negative Regulation Of Leukocyte Activation (GO:0002695),15,5,1.0,4.93,0.0023650563903397843,0.015082545243783652,1065.0
gobp,Defense Response To Fungus (GO:0050832),15,5,1.0,4.93,0.0023650563903397843,0.015082545243783652,1065.0
gobp,Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223),15,5,1.0,4.93,0.0023650563903397843,0.015082545243783652,1065.0
gobp,Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912),15,5,1.0,4.93,0.0023650563903397843,0.015082545243783652,1065.0
gobp,Lymphocyte Proliferation (GO:0046651),15,5,1.0,4.93,0.0023650563903397843,0.015082545243783652,1065.0
gobp,Cellular Response To Lectin (GO:1990858),15,5,1.0,4.93,0.0023650563903397843,0.015082545243783652,1065.0
gobp,Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861),15,5,1.0,4.93,0.0023650563903397843,0.015082545243783652,1065.0
gobp,Response To Cytokine (GO:0034097),99,15,6.7,2.24,0.0025710327960854745,0.016298511475184702,1065.0
gobp,Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628),29,7,2.0,3.57,0.0026370848522151037,0.016618315784669144,1065.0
gobp,"Phagocytosis, Engulfment (GO:0006911)",22,6,1.5,4.04,0.0027368879043796735,0.017145797753907954,1065.0
kegg,C-type lectin receptor signaling pathway,90,14,6.1,2.3,0.002748894017845653,0.013057246584766851,209.0
gobp,Response To Auditory Stimulus (GO:0010996),5,3,0.3,8.88,0.002774396271732676,0.01717867458950756,1065.0
gobp,Toll-Like Receptor 3 Signaling Pathway (GO:0034138),5,3,0.3,8.88,0.002774396271732676,0.01717867458950756,1065.0
gobp,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),120,17,8.1,2.1,0.0028732054032369896,0.017687651759811525,1065.0
kegg,Type I diabetes mellitus,10,4,0.7,5.92,0.0031298055614713926,0.014536208052167135,209.0
gobp,Negative Regulation Of Bone Remodeling (GO:0046851),10,4,0.7,5.92,0.0031298055614713926,0.019047102416954474,1065.0
gobp,B Cell Mediated Immunity (GO:0019724),10,4,0.7,5.92,0.0031298055614713926,0.019047102416954474,1065.0
kegg,Cholinergic synapse,73,12,4.9,2.43,0.003383620136352951,0.015373404532560147,209.0
gobp,Regulation Of MAPK Cascade (GO:0043408),153,20,10.3,1.93,0.00338594743671968,0.02048882965969579,1065.0
gobp,Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181),55,10,3.7,2.69,0.0034196058440001393,0.020575594485085582,1065.0
gobp,Regulation Of Chemotaxis (GO:0050920),23,6,1.6,3.86,0.0034941332997096455,0.020905909911184115,1065.0
kegg,Complement and coagulation cascades,47,9,3.2,2.83,0.003752454606574995,0.016686447080301575,209.0
gobp,Regulation Of Cell Adhesion (GO:0030155),114,16,7.7,2.08,0.00413359791651669,0.02445712100605708,1065.0
gobp,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),114,16,7.7,2.08,0.00413359791651669,0.02445712100605708,1065.0
