,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
LOC109500010,-0.6032989115632634,-1.2254680331115575,0.24576543660022204,0.7618400348630779,0.6609820705495287,11.100032182358945,5,6,0.7869047700511758
LOC109500038,-0.3184036490091826,-0.4611748499917546,0.6535783946275211,1.550001570850548,1.3000301117940136,11.100032182358945,5,6,0.9397997741950358
LOC109500052,-0.5855526609924735,-1.2494359506698487,0.23720974528047453,0.6854049031783985,0.5990078191365098,11.100032182358945,5,6,0.7815532024506646
LOC109500091,0.22436141346234517,0.4050128383662398,0.6931641375666857,0.9788388055083372,0.8369265096036045,11.100032182358945,5,6,0.9473137123634472
LOC109500257,-0.213774351514743,-0.7336002319770061,0.4784010011620117,0.23225563119232628,0.23159055575629378,11.100032182358945,5,6,0.8936232995305956
LOC109500442,0.45066424036499164,0.9071518932940132,0.38359746033441533,0.7767762610494156,0.6730924891022496,11.100032182358945,5,6,0.8620354192375443
LOC109500444,0.15012342535469303,0.5168452376739199,0.615405909490051,0.23040933001080244,0.23009355913856117,11.100032182358945,5,6,0.9305023287952505
LOC109500448,-0.4220598751003095,-0.6155589330690772,0.5505983178642222,1.5279442298541828,1.2821458331085174,11.100032182358945,5,6,0.9163718642177451
LOC109500458,-0.3560950480130134,-0.7243700712833484,0.48382733618882223,0.7594965900138854,0.6590819856402027,11.100032182358945,5,6,0.895773450060948
LOC109500487,0.04865712976275556,0.08116136649832396,0.9367585629096569,1.1555659587415779,0.9802183805611487,11.100032182358945,5,6,0.9911522453797703
LOC109500494,-0.442362127249905,-1.1776512281554943,0.2635685707068632,0.42123198192131894,0.3848141796719037,11.100032182358945,5,6,0.7984826218716136
LOC109500533,-0.6555669321522934,-0.8157262843109081,0.43181298754761477,2.119104831380932,1.761463850059533,11.100032182358945,5,6,0.881685934607308
LOC109500536,0.07128080169193862,0.19762465834591011,0.8469112537642429,0.38422229113171213,0.3548064092768025,11.100032182358945,5,6,0.9769053069517462
LOC109500910,-0.10800100585006933,-0.3482909754551203,0.7341375647215367,0.27005731077026884,0.2622404773612221,11.100032182358945,5,6,0.9534265857114951
LOC109500934,0.2782465688145892,1.0610348150932045,0.3112150571871762,0.1779451091537171,0.18755512501904656,11.100032182358945,5,6,0.8243836685636988
LOC109500986,-0.6319939767523688,-1.7818059208262091,0.10212533551641105,0.3697969475196229,0.34311021863736124,11.100032182358945,5,6,0.6623017540455216
LOC109501009,-0.4328696612264298,-1.6288693721240317,0.13136563898319295,0.18417483478541463,0.1926062392648579,11.100032182358945,5,6,0.6986272224584426
LOC109501041,0.1480328363254848,0.5562672558535158,0.5890660713196976,0.18483614212564542,0.19314243285099325,11.100032182358945,5,6,0.924383648959256
