feature,lfc_early,p_early,q_early,lfc_late,p_late,q_late,lfc_prog,p_prog,prog_sign_stable,class,ratio_early_late
ABRAXAS1,0.10540926275707285,0.6331294039780263,0.8041951968592176,-0.17516757343768274,0.6127281521397547,0.7780521249869113,-0.2805768361947556,0.438722515776508,False,other,-0.601762419198968
ABRAXAS2,-0.026888599591280204,0.8770569064893136,0.9411316446234667,-0.06888792286156775,0.7594902063219181,0.8734818794231908,-0.04199932327028755,0.821843669476977,False,other,0.390323854666276
ABT1,0.040059424401039045,0.8342495110994463,0.9192198682880403,-0.0454585398844376,0.8334007195372398,0.9159548473957987,-0.08551796428547664,0.6959940976069072,True,other,-0.8812298965799625
ABTB1,0.2326000665470227,0.3307214194818676,0.5709740937724384,0.28019447271240416,0.31865023370620393,0.5570632220305296,0.047594406165381464,0.8675535457306239,False,other,0.8301379548830962
ABTB2,-0.8616653064843662,0.002759905129118008,0.10326564947031841,-0.5212564732175737,0.26714541335531133,0.513536769792941,0.3404088332667925,0.44087086770450457,True,other,1.653054399815012
ACAA1,-0.7797168640980292,0.04516231581937288,0.20157822991186755,-0.3242053305653716,0.4687872382369668,0.6785979719201125,0.4555115335326576,0.12846459386268422,True,other,2.405009389383898
ACAA2,-0.6044024372800338,0.11331738919708963,0.3212061977110968,-0.38581338045703006,0.3384408943974859,0.5750670155555277,0.21858905682300378,0.5022618253868844,True,other,1.5665668115607232
ACACA,-1.1093176312648563,0.04580280773028087,0.20277959026169093,-0.602619677353661,0.3439428057786267,0.5790282002755782,0.5066979539111953,0.32238213080762035,True,other,1.8408254375899316
ACACB,-1.3574840650919358,0.09912095234135276,0.3011011703560709,-0.9869444909452199,0.351258523915595,0.5848995104042398,0.3705395741467159,0.7503171079974185,False,other,1.3754411494732004
ACAD10,-0.5885856013798114,0.1561318601111951,0.38047779694140565,-0.32454495464564204,0.33619737999974764,0.5733696348735757,0.2640406467341694,0.5336501836116225,True,other,1.8135718733402129
ACAD11,-0.6800632245948357,0.026442779417244964,0.1627376719132139,-0.865588675343667,0.015311340502193772,0.14420890134503117,-0.1855254507488313,0.5490799439473089,True,other,0.785665575308998
ACAD8,-0.7592441402444257,0.0051189741254123585,0.110499841525656,-0.6172967059199737,0.03297217124465969,0.194087942721729,0.141947434324452,0.49905973679462845,True,other,1.2299500920111084
ACAD9,-1.4289007613207119,0.011692137638108377,0.12537041576737593,-0.8588048708575275,0.1858211065006442,0.431669329419558,0.5700958904631843,0.23079641968313183,True,other,1.6638247054816262
ACADL,-0.6448755131838442,0.15613371309608348,0.38047779694140565,0.38369008298605634,0.3434438629549955,0.5790111440710856,1.0285655961699005,0.03675349658068142,True,other,-1.6807197834385508
ACADM,-2.373552155057495,0.0020418189340066705,0.09842850657929832,-1.8107892967086423,0.014117786739451462,0.1383618784257853,0.5627628583488526,0.3566392674543213,True,other,1.3107831813296837
ACADS,-0.8828108521661759,0.0345790453560639,0.17766735401965544,-0.44611895537890955,0.32846787133951805,0.5673121290102145,0.4366918967872664,0.31049935137939344,True,other,1.978868733377096
ACADSB,-1.636786830434903,0.002094240892732674,0.09898692170077317,-1.9730830908554093,0.00022964065565320925,0.031121568083280118,-0.3362962604205064,0.48856001146693695,True,early_onset,0.8295579836555648
ACADVL,-1.2260850960040308,0.03378226466385236,0.17595587414368605,-0.9102811829822031,0.11963730082935682,0.3484362212441417,0.31580391302182775,0.528256666256995,True,other,1.346930068341314
ACAP1,0.2284408981832362,0.5075213613821182,0.7166691230256532,1.1543889986196056,0.026778718562195384,0.17892680396645635,0.9259481004363694,0.026343643486499254,True,other,0.19788901181179055
ACAP2,-0.28063785663395624,0.22570828858267927,0.4666064240747142,-0.6460774547939874,0.0958354786309746,0.31343621513690856,-0.36543959816003113,0.3493601100371744,True,other,0.43437184590111155
ACAP3,0.2514444137192182,0.22737865243771738,0.4681172437018581,0.08196476869884428,0.7740842832846687,0.8819978492890789,-0.16947964502037394,0.5763898981666462,True,other,3.0677133323352335
ACAT1,-1.587177550882716,0.005035599645824315,0.110499841525656,-1.0991945013573696,0.0703147274219906,0.2704101505338535,0.4879830495253463,0.32938214371607655,True,other,1.4439460431459104
ACAT2,-1.5160805219327678,0.03261397688248722,0.1740823045485893,-0.3638572799186326,0.6441508635440079,0.7981632509996771,1.1522232420141352,0.1599900422671624,True,other,4.166690088684773
ACBD3,0.10870635684662044,0.5070732572210792,0.7165233021581142,-0.015108652200918726,0.9392035069477563,0.9718475173676653,-0.12381500904753917,0.4994666316854174,True,other,-7.194973807128225
ACBD4,-0.06839077053711229,0.6994822376236283,0.8444746128653707,-0.19454334543337026,0.4306313315222433,0.6493282507012433,-0.12615257489625797,0.549300998915863,True,other,0.35154515506435374
ACBD5,-0.42191941234390384,0.05406132052982529,0.22038028631773662,-0.6378283093391923,0.055720596522123335,0.2461476698794146,-0.21590889699528848,0.4944985258831923,False,other,0.661493706325177
ACBD6,-0.2503640645189842,0.2602800644953252,0.5027432729192006,-0.03252172485518212,0.8953178906758483,0.9493553435857881,0.21784233966380206,0.38249378782022725,True,other,7.6983636518002925
ACCS,0.10411155200600053,0.7275203643340575,0.861293614539736,0.8147428490924522,0.042474661538752026,0.21615355257070906,0.7106312970864517,0.006522503223114024,True,other,0.1277845545032658
ACD,0.11392102522506242,0.5717492945527198,0.7615509055955656,0.3862059008409844,0.15847230458842085,0.3999002767192431,0.27228487561592196,0.29850365950667934,True,other,0.2949748436701593
