dataset,term,z,mean_lfc,n_genes
cat_rna_ctx_late,Amyloid Precursor Protein Catabolic Process (GO:0042987),1.0549812295745156,0.31330174614375594,13
cat_rna_ctx_late,Amyloid Precursor Protein Metabolic Process (GO:0042982),1.0483314974321103,0.3047687625466794,16
cat_rna_ctx_late,Amyloid-Beta Metabolic Process (GO:0050435),-1.9184992126252511,-0.4108851507762564,14
cat_rna_ctx_late,Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145),-0.12849438443487016,0.1835806088973938,20
cat_rna_ctx_late,Androgen Receptor Signaling Pathway (GO:0030521),0.8961109310933962,0.18117295907585249,13
cat_rna_ctx_late,Angiogenesis Involved In Wound Healing (GO:0060055),-1.2927828745233827,-0.38269025195208356,10
cat_rna_ctx_late,Anterior/Posterior Pattern Specification (GO:0009952),0.7898339659233721,0.1253461112136052,45
cat_rna_ctx_late,Anterograde Axonal Transport (GO:0008089),-0.9758816418819427,-0.06615793418098917,36
cat_rna_ctx_late,Anterograde Synaptic Vesicle Transport (GO:0048490),0.12407675370561301,0.0027721357839513533,15
cat_rna_ctx_late,Anterograde Trans-Synaptic Signaling (GO:0098916),-0.5112245584403636,-0.07460973859876253,99
cat_rna_ctx_late,Antibacterial Humoral Response (GO:0019731),2.595307214065227,1.254450752689108,11
cat_rna_ctx_late,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),0.5196382599511513,0.37503456227649945,12
cat_rna_ctx_late,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.2577177628818288,0.3784360549264242,10
cat_rna_ctx_late,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474),0.8501161733191814,0.17740243844654013,15
cat_rna_ctx_late,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),0.6679648821704407,0.44660173149972165,12
cat_rna_ctx_late,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),6.840012817278691,0.8503510976513711,92
cat_rna_ctx_late,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),2.378189689271009,0.846395535991894,21
cat_rna_ctx_late,Antimicrobial Humoral Response (GO:0019730),3.7676946000352562,1.0350999294898684,29
cat_rna_ctx_late,Antiviral Innate Immune Response (GO:0140374),1.3386894129137943,0.3095344702447444,34
cat_rna_ctx_late,Aorta Development (GO:0035904),0.44778426767664536,0.35772957363569385,14
cat_rna_ctx_late,Aorta Morphogenesis (GO:0035909),1.0612050670473547,0.32283407799259173,17
cat_rna_ctx_late,Aortic Valve Development (GO:0003176),1.0479959875869167,0.26797974952341935,37
cat_rna_ctx_late,Aortic Valve Morphogenesis (GO:0003180),0.44095213143576256,0.2112352799225743,33
cat_rna_ctx_late,Apical Junction Assembly (GO:0043297),1.0589101639694691,0.2492035358393693,44
cat_rna_ctx_late,Apoptotic Cell Clearance (GO:0043277),3.657104599257947,0.7749841884568351,20
cat_rna_ctx_late,Apoptotic Mitochondrial Changes (GO:0008637),0.8755949951818311,0.27608194096044614,33
cat_rna_ctx_late,Apoptotic Nuclear Changes (GO:0030262),0.988976170044229,0.4456226242779777,12
cat_rna_ctx_late,Apoptotic Process (GO:0006915),5.335889852211715,0.3764844271950916,183
cat_rna_ctx_late,Arachidonic Acid Metabolic Process (GO:0019369),1.555037455622802,0.3393685193927936,24
cat_rna_ctx_late,Aromatic Amino Acid Family Catabolic Process (GO:0009074),-3.186545638864632,-0.8817752848744458,10
cat_rna_ctx_late,Artery Development (GO:0060840),1.116004152278342,0.23145836757226484,20
cat_rna_ctx_late,Artery Morphogenesis (GO:0048844),-0.12368420596095323,0.03339132050478319,26
cat_rna_ctx_late,Aspartate Family Amino Acid Catabolic Process (GO:0009068),-4.287414107470963,-0.8750322012580861,10
cat_rna_ctx_late,Aspartate Family Amino Acid Metabolic Process (GO:0009066),-3.4096996909872836,-0.6214219025260729,11
cat_rna_ctx_late,Associative Learning (GO:0008306),1.779811597993937,0.5461852419545498,11
cat_rna_ctx_late,Astrocyte Activation (GO:0048143),1.3632141598900784,0.8443736865400275,10
cat_rna_ctx_late,Astrocyte Development (GO:0014002),2.1035251995498965,0.7834407896621768,13
cat_rna_ctx_late,Atrioventricular Valve Development (GO:0003171),0.9460030365040599,0.14271745738230454,12
cat_rna_ctx_late,Atrioventricular Valve Morphogenesis (GO:0003181),0.650427662383166,0.12914336629193432,19
cat_rna_ctx_late,Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315),2.009333487231453,0.6511553526302892,11
cat_rna_ctx_late,Autophagosome Assembly (GO:0000045),-1.4241581032654311,-0.046628978651907925,59
cat_rna_ctx_late,Autophagosome Maturation (GO:0097352),-0.18057795924599312,0.010471349299006569,41
cat_rna_ctx_late,Autophagosome Organization (GO:1905037),-0.9312849505571038,-0.01700744460636789,55
cat_rna_ctx_late,Autophagy Of Mitochondrion (GO:0000422),-3.055798862673628,-0.18956140261524676,44
cat_rna_ctx_late,Autophagy Of Nucleus (GO:0044804),-0.5728788803670732,-0.03760305649493383,18
