,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
Il18r1,0.8479948643349434,7.52760988915585,2.814602137329673e-06,0.0276839163914958,0.035142397301941304,13.955855331682496,4,9,0.0011976132094337758
Slc9a2,-0.31849671833213256,-2.20057452490679,0.0451090379971971,0.05669535764379749,0.05800920454455015,13.955855331682496,4,9,0.17416879022430315
Mfsd9,-0.4256255355344962,-1.7010630634640205,0.11109517500230401,0.20305508689252277,0.17336988889336707,13.955855331682496,4,9,0.28396005243080075
Pantr1,-0.1436210694650173,-0.7386525037784223,0.4723585073498888,0.1159229737200922,0.10469238958446685,13.955855331682496,4,9,0.6552453753367198
Gm20646,-0.059848335134896846,-0.4863422834283118,0.6342727535204572,0.03630210457450245,0.041935250033644435,13.955855331682496,4,9,0.7781567100729693
Pou3f3,-0.2610745876930505,-2.3276509216602417,0.03549229699220082,0.027297665837945958,0.034837954758788627,13.955855331682496,4,9,0.15470535118595038
Pantr2,0.2067400445856198,0.985531778156355,0.341141798390863,0.13770587125715592,0.12186166134982654,13.955855331682496,4,9,0.5418046324866193
Mrps9,0.15010036703112473,1.6054952300341583,0.13076795487127224,0.01380745280024943,0.02420497384232825,13.955855331682496,4,9,0.3118727337821786
Tgfbrap1,-0.06331540748934561,-0.5759575680325545,0.5738151288975908,0.02555638030105418,0.033465474143979886,13.955855331682496,4,9,0.7340510628491861
AI597479,0.26637951338419397,2.902658392972403,0.011612059059550563,0.012687425650559359,0.02332216885805607,13.955855331682496,4,9,0.08925929227789174
Fhl2,0.9041988498991342,3.7803869856780326,0.002038324828368143,0.18409004419503375,0.15842164926818397,13.955855331682496,4,9,0.036915158734630055
Nck2,-0.10213986735399727,-0.9628736063183737,0.35199912470725236,0.02263264107856905,0.031160983972437016,13.955855331682496,4,9,0.5517872102279067
