collection	pathway	n_genes	IRI_12mo	IRI_14d	IRI_24h	IRI_28d	IRI_2h	IRI_48h	IRI_4h	IRI_72h	IRI_7d	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_2W	mouse_3W	mouse_5D
GO_BP	Negative Regulation Of Protein Metabolic Process (GO:0051248)	38	0.6517	0.552	0.685	0.6214	0.1551	0.6918	0.3749	0.7563	0.7167	0.8922	1.0	0.8754	0.891	0.6395	0.7268	0.5045
GO_BP	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	53	0.5952	0.3891	0.4785	0.5333	0.0634	0.5138	0.1919	0.5282	0.5122	0.9537	1.0	0.845	0.7942	0.4884	0.4804	0.2308
GO_BP	Nervous System Development (GO:0007399)	31	0.5343	0.5977	0.4396	0.5714	0.5123	0.5191	0.4891	0.6352	0.5828	0.9367	1.0	0.7662	0.7504	0.5782	0.5915	0.3897
GO_BP	Organelle Assembly (GO:0070925)	47	0.8455	0.6325	0.3961	0.6964	0.1723	0.5427	0.2284	0.6234	0.6462	0.947	1.0	0.8128	0.8485	0.5429	0.5702	0.3182
GO_BP	Organelle Organization (GO:0006996)	79	0.3645	0.4292	0.3907	0.4317	0.2897	0.4518	0.2972	0.5003	0.41	0.9413	1.0	0.8377	0.8218	0.397	0.3998	0.2076
GO_BP	Oxidative Phosphorylation (GO:0006119)	35	-0.3566	0.8447	0.948	0.956	0.2117	0.4326	0.5921	0.8768	0.9041	0.9631	1.0	0.9818	0.9215	0.9561	0.6066	0.6803
GO_BP	Peptide Biosynthetic Process (GO:0043043)	70	0.6194	0.6371	0.5584	0.5861	0.1959	0.5587	0.287	0.5818	0.5938	0.8878	1.0	0.4644	0.7628	0.5424	0.5377	0.4808
GO_BP	Phosphate-Containing Compound Metabolic Process (GO:0006796)	39	0.4488	0.4937	0.3969	0.5517	0.0709	0.296	0.4244	0.4215	0.4423	0.9419	1.0	0.8148	0.9174	0.5549	0.4566	0.3863
GO_BP	Phosphorylation (GO:0016310)	39	0.6271	0.4411	0.5584	0.4795	0.1063	0.6021	0.3523	0.6404	0.5805	0.9157	1.0	0.9179	0.8395	0.5334	0.5686	0.4366
GO_BP	Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	31	0.6129	0.5129	0.4373	0.5457	0.0582	0.448	0.3083	0.5209	0.5385	0.9398	1.0	0.7305	0.7612	0.4737	0.441	0.4371
