pathway	n_genes	auc_cat_over_mouse	cat_median	mouse_median
Purine metabolism	32	1.0	0.7937	0.2897
Pyruvate metabolism	33	1.0	0.9015	0.4907
RNA Processing (GO:0006396)	48	1.0	0.5452	0.2312
RNA Splicing (GO:0008380)	30	0.9444	0.6088	0.3952
RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	1.0	0.6522	0.2742
RNA transport	46	1.0	0.6786	0.249
Rap1 signaling pathway	31	0.5	0.8099	0.7972
Receptor-Mediated Endocytosis (GO:0006898)	38	1.0	0.8588	0.6088
Regulation Of Angiogenesis (GO:0045765)	35	0.9444	0.6055	0.5297
Regulation Of Apoptotic Process (GO:0042981)	131	1.0	0.8936	0.4434
Regulation Of Autophagy (GO:0010506)	47	1.0	0.7926	0.1437
Regulation Of Cell Migration (GO:0030334)	70	0.9722	0.822	0.6845
Regulation Of Cell Population Proliferation (GO:0042127)	84	1.0	0.8859	0.5038
Regulation Of Cytoskeleton Organization (GO:0051493)	31	0.9444	0.8108	0.623
Regulation Of DNA-templated Transcription (GO:0006355)	126	1.0	0.8916	0.5809
Regulation Of GTPase Activity (GO:0043087)	31	1.0	0.7864	0.4392
Regulation Of Gene Expression (GO:0010468)	116	1.0	0.8125	0.5712
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	32	1.0	0.8935	0.4231
Regulation Of Macroautophagy (GO:0016241)	30	1.0	0.8581	0.4148
Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	33	1.0	0.791	0.3918
Regulation Of Organelle Organization (GO:0033043)	31	1.0	0.8087	0.5116
Regulation Of Programmed Cell Death (GO:0043067)	40	1.0	0.9448	0.5502
Regulation Of Protein Catabolic Process (GO:0042176)	32	1.0	0.8222	0.3166
Regulation Of Protein Phosphorylation (GO:0001932)	36	1.0	0.8066	0.4019
Regulation Of Translation (GO:0006417)	63	1.0	0.8778	0.2674
Regulation of actin cytoskeleton	62	0.6667	0.7617	0.6456
Retrograde endocannabinoid signaling	40	1.0	0.9471	0.4833
Ribosome	66	0.8333	0.7598	0.612
Salmonella infection	79	1.0	0.8213	0.6715
Shigellosis	51	1.0	0.8475	0.6596
Spinocerebellar ataxia	44	0.9167	0.5405	0.1456
Spliceosome	52	0.9167	0.6533	0.2327
Supramolecular Fiber Organization (GO:0097435)	60	0.8056	0.8631	0.7866
Thermogenesis	60	1.0	0.9016	0.4656
Tight junction	47	1.0	0.8184	0.5669
Translation (GO:0006412)	93	1.0	0.6782	0.464
UV Response Up	34	1.0	0.9081	0.2386
