collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	cat_med_CKD34	0.9279	0.8192	-0.1088	0.6682	0.9477	False
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	mouse_5D	0.6296	0.8161	0.1864	-0.11	0.7222	False
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	mouse_2W	0.9576	0.981	0.0234	0.112	0.7656	True
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	mouse_3W	0.63	0.759	0.129	0.0825	0.7801	False
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_2h	0.2619	0.86	0.5982	-0.1979	0.5625	False
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_4h	0.6945	0.9058	0.2112	-0.1049	0.68	True
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_24h	0.9436	0.9799	0.0363	0.1401	0.7889	True
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_48h	0.4529	0.7883	0.3354	0.1794	0.776	False
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_72h	0.8735	0.7983	-0.0751	0.2199	0.8135	True
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_7d	0.9165	0.9502	0.0337	0.1642	0.8143	True
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_14d	0.8397	0.9513	0.1116	0.1012	0.781	True
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_28d	0.946	0.8827	-0.0633	0.0234	0.7997	True
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	IRI_12mo	-0.2373	0.5734	0.8106	-0.0106	0.7887	False
GO_BP	Aerobic Respiration (GO:0009060)	36	cat_CKD12	0.9622	0.8274	-0.1348	0.7733	0.97	False
GO_BP	Aerobic Respiration (GO:0009060)	36	cat_CKD34	1.0	0.9728	-0.0272	1.0	1.0	False
GO_BP	Aerobic Respiration (GO:0009060)	36	cat_med_CKD12	0.9786	0.9487	-0.0299	0.5473	0.953	True
GO_BP	Aerobic Respiration (GO:0009060)	36	cat_med_CKD34	0.9207	0.7866	-0.1341	0.6682	0.9477	False
GO_BP	Aerobic Respiration (GO:0009060)	36	mouse_5D	0.6239	0.845	0.2211	-0.11	0.7222	False
GO_BP	Aerobic Respiration (GO:0009060)	36	mouse_2W	0.9423	0.9815	0.0392	0.112	0.7656	True
GO_BP	Aerobic Respiration (GO:0009060)	36	mouse_3W	0.5538	0.7769	0.2232	0.0825	0.7801	False
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_2h	0.0806	0.8251	0.7444	-0.1979	0.5625	False
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_4h	0.5394	0.8805	0.3411	-0.1049	0.68	False
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_24h	0.9361	0.9798	0.0437	0.1401	0.7889	True
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_48h	0.3534	0.7013	0.3479	0.1794	0.776	False
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_72h	0.8671	0.6888	-0.1783	0.2199	0.8135	True
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_7d	0.9018	0.9342	0.0324	0.1642	0.8143	True
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_14d	0.8099	0.9508	0.1408	0.1012	0.781	True
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_28d	0.9546	0.8942	-0.0605	0.0234	0.7997	True
GO_BP	Aerobic Respiration (GO:0009060)	36	IRI_12mo	-0.387	0.4287	0.8156	-0.0106	0.7887	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	cat_CKD12	0.8706	0.8306	-0.0399	0.7683	0.9607	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	cat_CKD34	1.0	0.9099	-0.0901	1.0	1.0	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	cat_med_CKD12	0.6178	0.8974	0.2796	0.6132	0.9292	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	cat_med_CKD34	0.8487	0.7727	-0.0761	0.7046	0.9424	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	mouse_5D	0.5849	0.9484	0.3635	-0.0554	0.6564	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	mouse_2W	0.5116	0.9522	0.4406	0.2149	0.7213	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	mouse_3W	0.5622	0.9302	0.3679	0.1529	0.7198	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_2h	-0.1565	0.8456	1.0021	-0.1588	0.47	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_4h	-0.1145	0.8255	0.9401	-0.0217	0.6035	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_24h	0.5778	0.948	0.3702	0.2369	0.7239	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_48h	0.608	0.9434	0.3354	0.2149	0.7277	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_72h	0.6687	0.9268	0.2581	0.2557	0.7616	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_7d	0.6251	0.9471	0.322	0.1777	0.7544	False
GO_BP	Cellular Component Assembly (GO:0022607)	51	IRI_14d	0.5571	0.9296	0.3725	0.108	0.6979	False
