groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
FUBP1	TRIM2	0.499824	0.499829
ACACB	SETD6	0.501228	0.501232
PRPSAP2	EGLN3	0.50156	0.50156
KIF13B	ZNF704	0.501773	0.501779
ATIC	CADM4	0.502222	0.502298
HS1BP3	PEX11B	0.503504	0.503491
TMED5	KLHL5	0.5038	0.50387
SFXN5	KAT5	0.5055	0.505468
MTMR12	NOP14	0.505542	0.505537
PPP1R12A	IPMK	0.50609	0.506058
BTF3L4	MTMR1	0.507354	0.507317
CAV1	LARP1B	0.507539	0.507619
LYPLAL1	BFAR	0.508554	0.508511
TBCD	DYRK1B	0.509681	0.509665
ARPC5L	ENPP4	0.509684	0.509722
DDAH2	LLPH	0.511252	0.511213
CD34	RRS1	0.511691	0.511695
CBX5	BAD	0.512429	0.512437
TK2	CDC42EP4	0.513847	0.513837
PTPN6	TRA2A	0.514438	0.514465
FUBP3	FEM1B	0.515124	0.515153
PGAM5	GTPBP4	0.517534	0.517518
PPP2R2A	ILKAP	0.517784	0.517786
SORBS1	YIPF6	0.517985	0.517993
APOH	SLC25A38	0.518612	0.518594
PNPT1	VASN	0.519685	0.519679
CA3	SMG1	0.519772	0.519892
HPGD	AQP6	0.520121	0.520122
EXOC4	MAP4K4	0.520687	0.520709
NAAA	DHFR	0.521017	0.521027
DHDH	TEAD1	0.521283	0.521188
PGM3	MPI	0.523079	0.523156
XDH	TIMM21	0.523108	0.522876
PPM1F	TMEM161A	0.523514	0.523538
RABGAP1	MAPK6	0.524167	0.524212
CIAPIN1	FRG1	0.524252	0.524492
MAP4	PPAT	0.52427	0.523987
MCAM	ZCRB1	0.52465	0.524631
TMPO	KLC2	0.525292	0.525352
ALG2	ADAP2	0.525423	0.525584
DENR	TNPO2	0.525619	0.525708
TNKS1BP1	EIF2D	0.525753	0.525767
BCL2L13	ARL6	0.525989	0.526035
FAM98B	PTS	0.525996	0.52605
LYRM4	MAP4K2	0.526212	0.526218
PTGR1	TAOK1	0.526239	0.526205
SNRPD1	LIAS	0.526359	0.52635
BCAT1	ACP2	0.526407	0.52634
FXN	FAT1	0.526704	0.526611
UBFD1	PPIG	0.527307	0.527387
BIN1	IPO9	0.527494	0.527496
AIMP1	BBS2	0.527715	0.527597
TTLL12	FTSJ3	0.528098	0.528085
PLEC	GAB1	0.528455	0.528337
PIN1	SSBP4	0.529028	0.529042
CA5B	TONSL	0.529498	0.529575
ILF3	DHPS	0.529827	0.529809
HSPG2	MXRA8	0.530155	0.530146
DNAJA4	ARHGAP12	0.530446	0.530455
TFAM	RNF34	0.530745	0.530755
EFHD2	IFT57	0.531237	0.531219
ARHGAP17	MED29	0.531815	0.531893
PRDX4	ORMDL2	0.533369	0.533381
PHYHD1	BPGM	0.536326	0.536295
PHYHIPL	GOPC	0.53733	0.537307
CISD2	STRIP1	0.537567	0.537681
COQ4	KLHL2	0.53936	0.539448
OXSM	PSMF1	0.540351	0.54034
HTATIP2	MTO1	0.540418	0.540432
ARMC10	CARM1	0.540683	0.540733
VPS37A	LDLRAD3	0.541238	0.541267
HNRNPH3	BMPR1A	0.54134	0.541306
TSN	PRDM2	0.542173	0.542154
NME1	DCTPP1	0.542352	0.542351
SUGT1	SMURF2	0.543163	0.543204
FMR1	TMEM129	0.544173	0.544082
PHLDB1	BRD3	0.544271	0.544376
SMC3	KLHL7	0.544294	0.544076
EML2	CTNNAL1	0.544341	0.544591
XPO7	TFIP11	0.544783	0.544739
VWA5A	CDKN1C	0.545022	0.54495
ADSL	INO80B	0.546765	0.546768
MOGS	ASH1L	0.547531	0.547571
RTCA	RAP1GAP2	0.54787	0.547869
SCIN	SWI5	0.548764	0.548764
PLEKHF2	TTYH2	0.548912	0.548903
SRC	THOC3	0.549527	0.549523
GALK2	MAGED2	0.549528	0.549535
PACSIN3	TNFSF10	0.549663	0.549642
SCAMP1	SPRYD3	0.549734	0.549586
CCDC90B	VAV2	0.551559	0.551591
COL4A5	FBRSL1	0.551594	0.551506
PPP3CB	HLTF	0.553214	0.553295
CNN2	ANKS3	0.554195	0.55413
USP14	BTBD6	0.5542	0.554125
CORO1C	VPS51	0.554533	0.55452
BLVRB	SMAD3	0.554554	0.55466
SCFD1	VIPAS39	0.554727	0.554719
SLC4A1	DNAJC2	0.555647	0.555594
GPD2	FEZ2	0.556818	0.556812
NAGK	TSR3	0.55697	0.557044
FAM136A	BAHD1	0.55726	0.557366
SEC24B	SSBP3	0.557679	0.557606
DHRS7	UCKL1	0.558966	0.558912
ARHGDIB	ALKBH7	0.559003	0.558869
LRRC47	AIFM2	0.559055	0.559217
PDCL3	PLA2G12A	0.559649	0.559666
SYNPO	CUL2	0.56142	0.561423
ACBD3	MRPL23	0.561957	0.561948
RHOG	FGFR3	0.562711	0.562698
SLCO4C1	TRIB2	0.563939	0.563906
RUVBL1	MIB1	0.564161	0.564203
OGN	PRPF18	0.564817	0.56466
PLS1	SLC2A1	0.565009	0.564998
DPP3	HOXD9	0.5653	0.565276
SH3GL1	OSBPL5	0.565877	0.565812
GAPVD1	TSPAN5	0.566032	0.566085
HINT3	GGA2	0.56618	0.566163
UGGT1	CCDC85C	0.566507	0.566471
RPS6KA3	SHOC2	0.566525	0.56658
EMILIN1	BMP6	0.566646	0.566627
COQ6	PDE4C	0.567021	0.567054
PKN2	CREBRF	0.567042	0.567087
AP3M1	PHC2	0.567665	0.56771
PGM2	ARHGEF1	0.5678	0.567806
ATP2B1	DVL3	0.568217	0.568246
GFPT1	PIK3CA	0.569019	0.569046
AGT	ST14	0.56909	0.569051
KTN1	BMP4	0.570827	0.570906
NUTF2	LSM3	0.571125	0.571077
DNAJC11	TTYH3	0.571219	0.571201
THEM4	IRS2	0.571445	0.571346
HSCB	CPSF7	0.571691	0.57161
TIMM9	KLHL3	0.572227	0.572277
RMND1	SNTA1	0.572601	0.572557
TPD52L2	SH3BGRL2	0.572638	0.57271
CRYM	NXT2	0.572942	0.573029
ALDH1A1	COG8	0.573119	0.573126
SORBS3	CSF1R	0.57387	0.57386
PALLD	GID8	0.573958	0.573988
TJP2	FYCO1	0.573977	0.574015
SNRPA	SPHK2	0.57456	0.574545
ACSL3	ANAPC7	0.575073	0.574936
SLC44A2	DDX21	0.575788	0.575781
CRIP1	STARD4	0.57589	0.575817
LRRFIP1	SEC61G	0.575902	0.575638
XPO1	FSTL1	0.575931	0.576259
RAB3GAP1	SLC16A7	0.577095	0.577109
RBM8A	VPS16	0.577493	0.577614
COPG2	RPF1	0.577794	0.57784
RHBG	PIGO	0.578049	0.578058
ACTN1	EP300	0.578257	0.578374
CMAS	KDM2A	0.578766	0.578761
ARRB1	ARFIP2	0.579521	0.579518
ACSF2	BRD7	0.580227	0.580047
EHD3	KAZN	0.580639	0.580587
FAF2	RILPL2	0.580695	0.580799
SF3A3	AAMDC	0.581725	0.581652
UCHL5	DPM2	0.583849	0.583956
PDCD10	SMARCA5	0.583866	0.583641
CTSC	ACVR1B	0.584736	0.584743
FUOM	FARS2	0.58495	0.58496
DCTN4	NDFIP2	0.58521	0.58533
DDO	C16ORF87	0.585592	0.585575
ISCA2	SEMA4A	0.586425	0.58634
PTPN23	FLT1	0.586634	0.586709
TMOD3	SLC20A2	0.587439	0.587562
PDGFRB	COQ10B	0.587897	0.587864
GART	E2F4	0.588565	0.588536
OPTN	DOCK1	0.589026	0.589053
ATPAF1	BOP1	0.589036	0.589073
RBM25	BAZ2A	0.589362	0.589311
HMGB3	POLR1C	0.590107	0.589972
EIF2S1	LRRC8B	0.590194	0.59029
ERAP1	WDR11	0.590333	0.590341
PRMT1	TST	0.590523	0.590554
EFTUD2	PMVK	0.59128	0.591313
PPP3CA	TCEAL8	0.591292	0.591236
GNAQ	RBM5	0.592131	0.592136
LTA4H	RORC	0.59215	0.592176
CSK	CDIP1	0.592999	0.593005
NSF	SLC20A1	0.593196	0.593181
MACF1	MAPRE3	0.594122	0.59414
SYNCRIP	RHOBTB1	0.594561	0.59456
FBL	RAB28	0.594615	0.594604
PTK2	TEK	0.594862	0.594733
EEA1	SNRNP27	0.595343	0.59535
PAFAH1B2	SNN	0.59629	0.596288
TNPO3	RPP21	0.5966	0.596869
SF3B3	CLNS1A	0.597371	0.597372
ITGA3	GNAI1	0.597478	0.597456
LAMC1	FBXW2	0.598096	0.598051
GNL1	DUSP22	0.599005	0.598987
TIMM10	FITM2	0.599212	0.59923
HMBS	NARF	0.600331	0.600238
PDCD5	CPSF3	0.602045	0.602164
EMD	AP3S1	0.602211	0.602196
SH3BGRL	TTC4	0.602583	0.602567
SEH1L	SNRPG	0.602587	0.602662
D2HGDH	SMAP1	0.602661	0.602729
SLC12A2	DNAJC14	0.602761	0.602847
PGP	ETS2	0.603009	0.603028
GOSR1	RB1CC1	0.603014	0.603109
