raw	centred	drop
0.87019	0.57906	0.29113
0.82425	0.56784	0.25641
0.90064	0.54701	0.35363
0.89476	0.46314	0.43162
0.83173	0.46261	0.36912
0.80823	0.51603	0.2922
0.85524	0.50748	0.34776
0.77991	0.47222	0.30769
0.76976	0.52564	0.24412
0.76122	0.62286	0.13835
0.86218	0.55716	0.30502
0.75214	0.65652	0.09562
0.73932	0.6437	0.09562
0.82585	0.62553	0.20032
0.81998	0.57105	0.24893
0.82692	0.68376	0.14316
0.76335	0.51175	0.2516
0.89476	0.56731	0.32746
0.89316	0.49679	0.39637
0.88355	0.51496	0.36859
0.88622	0.53259	0.35363
0.78098	0.56357	0.21741
0.81731	0.71955	0.09776
0.76816	0.61592	0.15224
0.84135	0.50588	0.33547
0.78739	0.67628	0.11111
0.89476	0.50107	0.3937
0.89583	0.56303	0.3328
0.80342	0.58333	0.22009
0.78098	0.5625	0.21848
0.7484	0.52938	0.21902
0.87393	0.70032	0.17361
0.88515	0.47703	0.40812
0.89263	0.53259	0.36004
0.88248	0.48504	0.39744
0.87179	0.55823	0.31357
0.82959	0.61218	0.21741
0.83761	0.63515	0.20246
0.81784	0.43376	0.38408
0.8531	0.47222	0.38088
0.70299	0.55609	0.1469
0.83868	0.48718	0.3515
0.85737	0.48611	0.37126
0.77724	0.43269	0.34455
0.81303	0.43269	0.38034
0.78259	0.44071	0.34188
0.80769	0.46154	0.34615
0.86111	0.48451	0.3766
0.7297	0.7297	0.0
0.86004	0.50962	0.35043
0.89744	0.62073	0.27671
0.7703	0.51603	0.25427
0.78205	0.63515	0.1469
0.86806	0.45887	0.40919
0.75053	0.70513	0.04541
0.80929	0.45887	0.35043
0.71688	0.63835	0.07853
0.88462	0.42415	0.46047
0.80769	0.44124	0.36645
0.86111	0.55662	0.30449
0.81731	0.55823	0.25908
0.88942	0.50053	0.38889
0.88301	0.67361	0.2094
0.85737	0.4797	0.37767
0.83173	0.6031	0.22863
0.789	0.48077	0.30823
0.90278	0.51976	0.38301
0.89209	0.48077	0.41132
0.81944	0.50374	0.31571
0.79968	0.52511	0.27457
0.86912	0.40812	0.461
0.88301	0.54327	0.33974
0.85951	0.49199	0.36752
0.79861	0.57212	0.2265
0.88355	0.63248	0.25107
0.86485	0.49519	0.36966
0.88782	0.40812	0.4797
0.83066	0.66453	0.16613
0.81624	0.43216	0.38408
0.78579	0.43109	0.3547
0.81891	0.47009	0.34882
0.85897	0.53419	0.32479
0.89103	0.4578	0.43323
0.87286	0.54541	0.32746
0.82265	0.52991	0.29274
0.89476	0.47596	0.4188
0.85043	0.51923	0.3312
0.80502	0.59509	0.20994
0.73932	0.55769	0.18162
0.89797	0.49306	0.40491
0.85203	0.54167	0.31036
0.84615	0.51496	0.3312
0.77938	0.58333	0.19605
0.84402	0.58707	0.25694
0.7516	0.65224	0.09936
0.79113	0.55983	0.2313
0.89744	0.5187	0.37874
0.88088	0.56624	0.31464
0.81838	0.58333	0.23504
0.69391	0.60417	0.08974
0.76549	0.66132	0.10417
0.7922	0.47222	0.31998
0.74519	0.63889	0.1063
0.84348	0.50107	0.34241
0.8766	0.73665	0.13996
0.85844	0.46368	0.39476
0.79968	0.53739	0.26229
0.76923	0.56357	0.20566
0.88996	0.52244	0.36752
0.83013	0.59295	0.23718
0.76709	0.54006	0.22703
0.82158	0.63568	0.1859
0.81571	0.62233	0.19338
0.85844	0.43697	0.42147
0.89744	0.49626	0.40118
0.76282	0.48825	0.27457
0.75374	0.79754	-0.0438
0.89583	0.52137	0.37447
0.84615	0.44071	0.40545
0.73558	0.60524	0.13034
0.73344	0.57746	0.15598
0.84081	0.6047	0.23611
0.84295	0.48344	0.35951
0.89316	0.71421	0.17895
0.88034	0.43162	0.44872
0.88194	0.57853	0.30342
0.84669	0.63835	0.20833
0.82265	0.50962	0.31303
0.80769	0.52831	0.27938
0.78098	0.6859	0.09509
0.83226	0.50694	0.32532
0.80235	0.53686	0.26549
0.85791	0.67628	0.18162
0.72115	0.64797	0.07318
0.77244	0.65705	0.11538
0.85791	0.49573	0.36218
0.89209	0.52885	0.36325
0.86325	0.57692	0.28632
0.81891	0.53259	0.28632
0.8766	0.68964	0.18697
0.88729	0.47222	0.41506
0.89049	0.5625	0.32799
0.87126	0.47596	0.3953
0.72169	0.61699	0.1047
0.77404	0.55876	0.21528
0.81517	0.51709	0.29808
0.80556	0.59776	0.2078
0.82105	0.59722	0.22382
0.78205	0.57585	0.2062
0.76389	0.6469	0.11699
0.77564	0.62019	0.15545
0.72382	0.66186	0.06197
0.8766	0.68483	0.19177
0.80929	0.57959	0.2297
0.88889	0.48077	0.40812
0.89744	0.48558	0.41186
0.90438	0.47382	0.43056
0.80662	0.56944	0.23718
0.80128	0.44765	0.35363
0.80556	0.62019	0.18536
0.78419	0.53846	0.24573
0.83173	0.4781	0.35363
0.87286	0.46848	0.40438
0.79754	0.5812	0.21635
0.75588	0.68643	0.06944
0.81998	0.48397	0.336
0.87981	0.49519	0.38462
0.85577	0.45192	0.40385
0.76389	0.47436	0.28953
0.88515	0.4765	0.40865
0.86165	0.46848	0.39316
0.8312	0.61111	0.22009
0.77671	0.58761	0.1891
0.8312	0.50374	0.32746
0.83547	0.65011	0.18536
