a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
mouse_2W	IRI_72h	0.7308	0.7427	same_species_diff_dataset	podtreck	iri	False		0.8992	0.7784	0.9635	0.8127	0.7585	0.9389	False	0.8224	0.8989		False
mouse_2W	IRI_7d	0.8071	0.7859	same_species_diff_dataset	podtreck	iri	False		0.9723	0.9054	0.982	0.8301	0.8218	0.8914	False	0.9479	0.9731		False
mouse_2W	IRI_14d	0.638	0.6243	same_species_diff_dataset	podtreck	iri	False		0.9525	0.8798	0.972	0.6698	0.6563	0.7252	False	0.9104	0.9524		False
mouse_2W	IRI_28d	0.7752	0.7671	same_species_diff_dataset	podtreck	iri	False		0.9227	0.6778	0.9618	0.8402	0.806	1.1438	False	0.8628	0.9243		False
mouse_2W	IRI_12mo	0.5593	0.5292	same_species_diff_dataset	podtreck	iri	False		0.9107	0.8487	0.9421	0.6141	0.5937	0.6591	False	0.84	0.9103		False
mouse_3W	IRI_2h	0.1342	0.1057	same_species_diff_dataset	podtreck	iri	False		0.8523	0.7026	0.9294	0.1575	0.1444	0.1911	False	0.7999	0.8866		False
mouse_3W	IRI_4h	0.2795	0.2906	same_species_diff_dataset	podtreck	iri	False		0.9226	0.7359	0.9512	0.303	0.2939	0.3799	False	0.8682	0.929		False
mouse_3W	IRI_24h	0.724	0.687	same_species_diff_dataset	podtreck	iri	False		0.9573	0.8679	0.9736	0.7564	0.7437	0.8343	False	0.9286	0.963		False
mouse_3W	IRI_48h	0.7174	0.7285	same_species_diff_dataset	podtreck	iri	False		0.9307	0.8299	0.966	0.7708	0.7426	0.8644	False	0.8947	0.9444		False
mouse_3W	IRI_72h	0.7526	0.7656	same_species_diff_dataset	podtreck	iri	False		0.8661	0.76	0.9497	0.8689	0.7925	0.9903	False	0.7972	0.8848		False
mouse_3W	IRI_7d	0.7888	0.7666	same_species_diff_dataset	podtreck	iri	False		0.9503	0.8411	0.9683	0.8301	0.8146	0.9379	False	0.9189	0.9577		False
mouse_3W	IRI_14d	0.5997	0.5566	same_species_diff_dataset	podtreck	iri	False		0.9172	0.8126	0.9579	0.6539	0.6261	0.7381	False	0.8825	0.9374		False
mouse_3W	IRI_28d	0.7057	0.6581	same_species_diff_dataset	podtreck	iri	False		0.89	0.6674	0.946	0.7929	0.746	1.0575	False	0.8364	0.9098		False
mouse_3W	IRI_12mo	0.5885	0.5938	same_species_diff_dataset	podtreck	iri	False		0.8687	0.7682	0.9301	0.6775	0.6327	0.7662	False	0.8143	0.8959		False
IRI_2h	IRI_4h	0.6385	0.5192	within_dataset	iri	iri	True		0.8544	0.7035	0.9025	0.7473	0.7074	0.9076	False	0.7519	0.8577		True
IRI_2h	IRI_24h	0.1656	0.1789	within_dataset	iri	iri	True		0.8829	0.7245	0.9302	0.1876	0.1781	0.2286	False	0.8042	0.8891		True
